CLOUD042	Trihexyphenidyl
CLOUD049	Dronedarone
CLOUD160	Tetracycline
CLOUD197	Paromomycin
CLOUD190	Nitisinone
CLOUD070	Dutasteride
CLOUD256	Triflupromazine
CLOUD257	6-Hydroxybuspirone
CLOUD262	Buspirone
CLOUD014	Norcisapride
CLOUD028	Olmesartan
CLOUD067	Cisapride
CLOUD081	Azithromycin
CLOUD060	Sumatriptan
CLOUD148	Metformin
CLOUD095	Enalaprilat
CLOUD009	Pyridostigmine  Bromide
CLOUD091	Tacrine
CLOUD116	Galantamine
CLOUD061	Sitagliptin
CLOUD065	Saxagliptin
CLOUD122	Dipyridamole
CLOUD138	Pentostatin
CLOUD019	Clopidogrel
CLOUD242	Fomepizole
CLOUD110	Terazosin
CLOUD017	Amiloride
CLOUD054	Triamterene
CLOUD069	Dihydroergotamine
CLOUD125	Tolazoline
CLOUD186	Methyldopa
CLOUD266	Guanadrel
CLOUD159	Miglitol
CLOUD004	Dexmedetomidine
CLOUD090	Eptifibatide
CLOUD093	Olmesartan Medoxomil
CLOUD002	Aliskiren
CLOUD100	Tolvaptan
CLOUD097	Levamisole
CLOUD163	Nateglinide
CLOUD240	Acetohexamide
CLOUD139	Docetaxel
CLOUD045	Flumazenil
CLOUD124	Atenolol
CLOUD082	Isoproterenol
CLOUD133	Epinephrine
CLOUD140	Bretylium Tosylate
CLOUD087	Mebendazole
CLOUD143	Albendazole
CLOUD152	Vinblastine
CLOUD056	Bumetanide
CLOUD026	Maraviroc
CLOUD222	Cinacalcet
CLOUD076	Entacapone
CLOUD106	Prednisolone
CLOUD073	Sildenafil
CLOUD079	Milrinone
CLOUD012	Carbachol
CLOUD039	Vecuronium Bromide
CLOUD123	Lubiprostone
CLOUD008	Argatroban
CLOUD113	Itraconazole
CLOUD092	Zafirlukast
CLOUD177	D-Cycloserine
CLOUD126	Methylergonovine
CLOUD208	Cilastatin
CLOUD001	Desoxycorticosterone Pivalate
CLOUD038	Naltrexone
CLOUD058	Loperamide
CLOUD203	Teriflunomide (A77 1726)
CLOUD243	Leflunomide
CLOUD051	Testosterone
CLOUD136	Hydroxyflutamide
CLOUD142	Flutamide
CLOUD115	Azacitidine
CLOUD023	Dopamine
CLOUD068	Risperidone
CLOUD084	Aripiprazole
CLOUD013	Asenapine
CLOUD011	Pramipexole
CLOUD184	Topiramate
CLOUD206	Bosentan
CLOUD252	Fosfomycin
