Drug1,Drug2,D_Drug1,D_Drug2,D_D1_D2,S
CLOUD001,CLOUD001,1.0,1.0,0.0,-1.0
CLOUD001,CLOUD003,1.0,2.33333333333,2.11111111111,0.444444444444
CLOUD001,CLOUD004,1.0,2.0,2.5,1.0
CLOUD001,CLOUD005,1.0,1.83333333333,2.22222222222,0.805555555556
CLOUD001,CLOUD006,1.0,1.71428571429,1.97368421053,0.616541353383
CLOUD001,CLOUD007,1.0,3.0,2.0,0.0
CLOUD001,CLOUD010,1.0,2.33333333333,2.16666666667,0.5
CLOUD001,CLOUD011,1.0,1.73333333333,2.38888888889,1.02222222222
CLOUD001,CLOUD012,1.0,2.16666666667,2.06666666667,0.483333333333
CLOUD001,CLOUD013,1.0,1.73684210526,2.36363636364,0.995215311005
CLOUD001,CLOUD014,1.0,3.0,2.4,0.4
CLOUD001,CLOUD015,1.0,3.0,1.4,-0.6
CLOUD001,CLOUD016,1.0,1.66666666667,1.86666666667,0.533333333333
CLOUD001,CLOUD017,1.0,1.41666666667,1.93333333333,0.725
CLOUD001,CLOUD018,1.0,2.0,2.14285714286,0.642857142857
CLOUD001,CLOUD020,1.0,1.33333333333,1.33333333333,0.166666666667
CLOUD001,CLOUD021,1.0,3.0,2.5,0.5
CLOUD001,CLOUD023,1.0,1.625,2.14285714286,0.830357142857
CLOUD001,CLOUD024,1.0,1.16176470588,1.83098591549,0.750103562552
CLOUD001,CLOUD025,1.0,1.48275862069,2.0,0.758620689655
CLOUD001,CLOUD026,1.0,2.0,2.2,0.7
CLOUD001,CLOUD027,1.0,1.33333333333,0.5,-0.666666666667
CLOUD001,CLOUD028,1.0,2.0,2.2,0.7
CLOUD001,CLOUD029,1.0,2.33333333333,2.4,0.733333333333
CLOUD001,CLOUD031,1.0,1.28571428571,1.47058823529,0.327731092437
CLOUD001,CLOUD032,1.0,1.5,2.13333333333,0.883333333333
CLOUD001,CLOUD035,1.0,3.0,2.22222222222,0.222222222222
CLOUD001,CLOUD037,1.0,1.76923076923,2.13793103448,0.753315649867
CLOUD001,CLOUD038,1.0,1.8,2.125,0.725
CLOUD001,CLOUD040,1.0,2.6,2.125,0.325
CLOUD001,CLOUD041,1.0,1.25,1.42857142857,0.303571428571
CLOUD001,CLOUD042,1.0,2.16666666667,2.44444444444,0.861111111111
CLOUD001,CLOUD043,1.0,1.33333333333,1.25,0.0833333333333
CLOUD001,CLOUD044,1.0,2.05882352941,2.21621621622,0.68680445151
CLOUD001,CLOUD045,1.0,1.47058823529,2.35,1.11470588235
CLOUD001,CLOUD046,1.0,1.81818181818,1.71428571429,0.305194805195
CLOUD001,CLOUD047,1.0,1.83333333333,2.06666666667,0.65
