CLOUD,DrugBankID,First_Level_ATCs,Second_Level_ATCs
CLOUD001,DB01134,,
CLOUD002,DB09026,C,C09
CLOUD003,DB00608,P,P01
CLOUD004,DB00633,N,N05
CLOUD005,DB00962,N,N05
CLOUD006,DB00934,N,N06
CLOUD007,DB00883,C,C01;C05
CLOUD008,DB00278,B,B01
CLOUD009,DB00545,N,N07
CLOUD010,DB00719,R,R06
CLOUD011,DB00413,N,N04
CLOUD012,DB00411,S;N,S01;N07
CLOUD013,DB06216,N,N05
CLOUD014,DB06422,,
CLOUD015,DB00613,P,P01
CLOUD016,DB00412,A,A10
CLOUD017,DB00594,C,C03
CLOUD018,DB01611,P,P01
CLOUD019,DB00758,B,B01
CLOUD020,DB00752,N,N06
CLOUD021,DB00198,J,J05
CLOUD022,DB00219,A,A03
CLOUD023,DB00988,C,C01
CLOUD024,DB00188,L,L01
CLOUD025,DB00831,N,N05
CLOUD026,DB04835,J,J05
CLOUD027,DB08867,G,G03
CLOUD028,DB00275,C,C09
CLOUD029,DB01231,,
CLOUD030,DB01626,C,C02
CLOUD031,DB00544,L,L01
CLOUD032,DB01043,N,N06
CLOUD033,DB00176,N,N06
CLOUD034,DB00614,G,G01
CLOUD035,DB00308,C,C01
CLOUD036,DB01131,P,P01
CLOUD037,DB01104,N,N06
CLOUD038,DB00704,A;N,A08;N07
CLOUD039,DB01339,M,M03
CLOUD040,DB00350,C;D,C02;D11
CLOUD041,DB01008,L,L01
CLOUD042,DB00376,N,N04
CLOUD043,DB00367,G,G03
CLOUD044,DB00458,N,N06
CLOUD045,DB01205,V,V03
CLOUD046,DB00291,L,L01
CLOUD047,DB00738,P,P01
CLOUD048,DB12221,C,C03
CLOUD049,DB04855,C,C01
CLOUD050,DB00232,C;G,C03;G01
CLOUD051,DB00624,G,G03
CLOUD052,DB00740,N,N07
CLOUD053,DB00997,L,L01
CLOUD054,DB00384,C,C03
CLOUD055,DB00185,N,N07
CLOUD056,DB00887,C;G,C03;G01
CLOUD057,DB00987,L,L01
CLOUD058,DB00836,A,A07
CLOUD059,DB00401,C,C08
CLOUD060,DB00669,G;N,G01;N02
CLOUD061,DB01261,A,A10
CLOUD062,DB00822,P;N,P03;N07
CLOUD063,DB01204,L,L01
CLOUD064,DB00675,L,L02
CLOUD065,DB06335,A,A10
CLOUD066,DB00973,C,C10
CLOUD067,DB00604,A,A03
CLOUD068,DB00734,N,N05
CLOUD069,DB00320,N,N02
CLOUD070,DB01126,G,G04
CLOUD071,DB01268,L,L01
CLOUD072,DB00421,C,C03
CLOUD073,DB00203,G,G04;G01
CLOUD074,DB04571,D,D05
CLOUD075,DB00284,A,A10
CLOUD076,DB00494,N,N04
CLOUD077,DB01396,C,C01
CLOUD078,DB00943,J,J05
CLOUD079,DB00235,C,C01
CLOUD080,DB00459,D,D05
CLOUD081,DB00207,S;J,J01;S01
CLOUD082,DB01064,C;R,C01;R03
CLOUD083,DB06803,P,P02
CLOUD084,DB01238,N,N05
CLOUD085,DB01217,L,L02
CLOUD086,DB00615,J,J04
CLOUD087,DB00643,P,P02
CLOUD088,DB00977,L;G,L02;G03
CLOUD089,DB00563,L,L04;L01
CLOUD090,DB00063,B,B01
CLOUD091,DB00382,N,N06
