ID_A,ID_B,Plate,Well,CellCount,TransferOK
CLOUD001,DMSO,1315001,A01,722.0,FALSE
CLOUD151,CLOUD109,1315002,A01,643.0,TRUE
CLOUD262,CLOUD098,1315003,A01,640.0,TRUE
CLOUD139,CLOUD233,1315004,A01,72.0,TRUE
CLOUD135,CLOUD028,1315005,A01,502.0,TRUE
CLOUD119,CLOUD200,1315006,A01,668.0,TRUE
CLOUD203,CLOUD130,1315007,A01,377.0,TRUE
CLOUD102,CLOUD242,1315008,A01,770.0,TRUE
CLOUD044,CLOUD082,1315009,A01,686.0,TRUE
CLOUD187,CLOUD254,1315010,A01,563.0,TRUE
CLOUD001,DMSO,1315011,A01,750.0,TRUE
CLOUD176,CLOUD155,1315012,A01,557.0,FALSE
CLOUD123,CLOUD192,1315013,A01,502.0,TRUE
CLOUD198,CLOUD251,1315014,A01,419.0,TRUE
CLOUD239,CLOUD042,1315015,A01,572.0,TRUE
CLOUD187,CLOUD262,1315016,A01,481.0,TRUE
CLOUD002,CLOUD161,1315017,A01,466.0,TRUE
CLOUD160,CLOUD038,1315018,A01,729.0,TRUE
CLOUD034,CLOUD031,1315019,A01,465.0,TRUE
CLOUD068,CLOUD075,1315020,A01,626.0,TRUE
CLOUD001,DMSO,1315021,A01,763.0,TRUE
CLOUD208,CLOUD033,1315022,A01,608.0,TRUE
CLOUD115,CLOUD258,1315023,A01,58.0,TRUE
CLOUD236,CLOUD177,1315024,A01,443.0,TRUE
CLOUD062,CLOUD234,1315025,A01,701.0,TRUE
CLOUD150,CLOUD267,1315026,A01,681.0,TRUE
CLOUD213,CLOUD217,1315027,A01,467.0,TRUE
CLOUD135,CLOUD223,1315028,A01,640.0,TRUE
CLOUD216,CLOUD168,1315029,A01,1261.0,TRUE
CLOUD030,CLOUD189,1315030,A01,702.0,TRUE
CLOUD001,DMSO,1315031,A01,677.0,TRUE
CLOUD227,CLOUD234,1315032,A01,735.0,TRUE
CLOUD061,CLOUD252,1315033,A01,729.0,TRUE
CLOUD072,CLOUD118,1315034,A01,687.0,TRUE
CLOUD080,CLOUD013,1315035,A01,1008.0,TRUE
CLOUD063,CLOUD008,1315036,A01,60.0,TRUE
CLOUD016,CLOUD261,1315037,A01,672.0,TRUE
CLOUD009,CLOUD160,1315038,A01,634.0,TRUE
CLOUD035,CLOUD069,1315039,A01,789.0,TRUE
CLOUD214,CLOUD254,1315040,A01,527.0,FALSE
CLOUD001,DMSO,1315041,A01,938.0,TRUE
CLOUD203,CLOUD001,1315042,A01,580.0,TRUE
CLOUD160,CLOUD185,1315043,A01,981.0,TRUE
CLOUD153,CLOUD266,1315044,A01,512.0,TRUE
CLOUD118,CLOUD010,1315045,A01,442.0,TRUE
CLOUD237,CLOUD220,1315046,A01,477.0,TRUE
CLOUD200,CLOUD205,1315047,A01,104.0,TRUE
CLOUD136,CLOUD017,1315048,A01,663.0,TRUE
CLOUD164,CLOUD007,1315049,A01,832.0,TRUE
CLOUD030,CLOUD245,1315050,A01,858.0,TRUE
CLOUD001,DMSO,1315051,A01,857.0,TRUE
CLOUD155,CLOUD119,1315052,A01,836.0,TRUE
CLOUD085,CLOUD183,1315053,A01,965.0,TRUE
CLOUD134,CLOUD089,1315054,A01,593.0,TRUE
CLOUD136,CLOUD039,1315055,A01,705.0,TRUE
CLOUD024,CLOUD264,1315056,A01,2.0,TRUE
CLOUD130,CLOUD197,1315057,A01,768.0,TRUE
CLOUD256,CLOUD147,1315058,A01,792.0,TRUE
CLOUD044,CLOUD014,1315059,A01,648.0,TRUE
CLOUD255,CLOUD191,1315060,A01,485.0,FALSE
CLOUD001,DMSO,1315061,A01,523.0,TRUE
CLOUD067,CLOUD070,1315062,A01,592.0,TRUE
CLOUD068,CLOUD211,1315063,A01,394.0,TRUE
CLOUD244,CLOUD004,1315064,A01,558.0,FALSE
CLOUD105,DMSO,1315001,A02,558.0,TRUE
CLOUD162,CLOUD083,1315002,A02,3.0,TRUE
CLOUD102,CLOUD122,1315003,A02,508.0,TRUE
CLOUD148,CLOUD064,1315004,A02,538.0,TRUE
CLOUD155,CLOUD203,1315005,A02,327.0,TRUE
CLOUD172,CLOUD041,1315006,A02,908.0,TRUE
CLOUD206,CLOUD172,1315007,A02,497.0,TRUE
CLOUD100,CLOUD083,1315008,A02,16.0,TRUE
CLOUD249,CLOUD154,1315009,A02,734.0,FALSE
CLOUD145,CLOUD153,1315010,A02,943.0,TRUE
CLOUD105,DMSO,1315011,A02,459.0,TRUE
CLOUD075,CLOUD222,1315012,A02,609.0,TRUE
CLOUD087,CLOUD205,1315013,A02,28.0,TRUE
CLOUD063,CLOUD150,1315014,A02,12.0,TRUE
CLOUD210,CLOUD065,1315015,A02,657.0,TRUE
CLOUD227,CLOUD089,1315016,A02,439.0,TRUE
CLOUD196,CLOUD067,1315017,A02,248.0,TRUE
CLOUD184,CLOUD135,1315018,A02,314.0,TRUE
CLOUD050,CLOUD143,1315019,A02,132.0,TRUE
CLOUD265,CLOUD067,1315020,A02,360.0,TRUE
CLOUD105,DMSO,1315021,A02,619.0,TRUE
CLOUD066,CLOUD186,1315022,A02,552.0,TRUE
CLOUD224,CLOUD064,1315023,A02,787.0,TRUE
CLOUD065,CLOUD077,1315024,A02,72.0,TRUE
CLOUD035,CLOUD175,1315025,A02,730.0,TRUE
CLOUD195,CLOUD237,1315026,A02,645.0,TRUE
CLOUD241,CLOUD120,1315027,A02,572.0,TRUE
CLOUD021,CLOUD127,1315028,A02,650.0,TRUE
CLOUD117,CLOUD069,1315029,A02,146.0,TRUE
CLOUD021,CLOUD013,1315030,A02,674.0,TRUE
CLOUD105,DMSO,1315031,A02,611.0,TRUE
CLOUD128,CLOUD219,1315032,A02,861.0,TRUE
CLOUD138,CLOUD143,1315033,A02,159.0,TRUE
CLOUD100,CLOUD047,1315034,A02,698.0,TRUE
CLOUD129,CLOUD099,1315035,A02,180.0,TRUE
CLOUD217,CLOUD214,1315036,A02,596.0,TRUE
CLOUD021,CLOUD173,1315037,A02,813.0,TRUE
CLOUD082,CLOUD136,1315038,A02,550.0,TRUE
CLOUD001,CLOUD208,1315039,A02,593.0,TRUE
CLOUD172,CLOUD140,1315040,A02,680.0,TRUE
CLOUD105,DMSO,1315041,A02,717.0,TRUE
CLOUD023,CLOUD087,1315042,A02,709.0,TRUE
CLOUD109,CLOUD141,1315043,A02,458.0,TRUE
CLOUD057,CLOUD216,1315044,A02,263.0,TRUE
CLOUD139,CLOUD237,1315045,A02,52.0,TRUE
CLOUD133,CLOUD019,1315046,A02,931.0,TRUE
CLOUD010,CLOUD067,1315047,A02,795.0,TRUE
CLOUD174,CLOUD030,1315048,A02,856.0,TRUE
CLOUD153,CLOUD180,1315049,A02,1024.0,TRUE
CLOUD184,CLOUD180,1315050,A02,846.0,TRUE
CLOUD105,DMSO,1315051,A02,708.0,TRUE
CLOUD137,CLOUD048,1315052,A02,711.0,TRUE
CLOUD086,CLOUD022,1315053,A02,755.0,TRUE
CLOUD061,CLOUD205,1315054,A02,310.0,TRUE
CLOUD103,CLOUD135,1315055,A02,305.0,TRUE
CLOUD043,CLOUD120,1315056,A02,900.0,TRUE
CLOUD116,CLOUD031,1315057,A02,658.0,TRUE
CLOUD084,CLOUD102,1315058,A02,793.0,TRUE
CLOUD222,CLOUD110,1315059,A02,958.0,TRUE
CLOUD116,CLOUD218,1315060,A02,854.0,TRUE
CLOUD105,DMSO,1315061,A02,572.0,TRUE
CLOUD159,CLOUD105,1315062,A02,564.0,TRUE
CLOUD017,CLOUD198,1315063,A02,674.0,TRUE
CLOUD068,CLOUD098,1315064,A02,788.0,TRUE
CLOUD153,DMSO,1315001,A03,573.0,TRUE
CLOUD230,CLOUD114,1315002,A03,422.0,FALSE
CLOUD176,CLOUD114,1315003,A03,395.0,FALSE
CLOUD212,CLOUD040,1315004,A03,758.0,TRUE
CLOUD257,CLOUD106,1315005,A03,405.0,TRUE
CLOUD178,CLOUD015,1315006,A03,324.0,TRUE
CLOUD206,CLOUD162,1315007,A03,382.0,TRUE
CLOUD050,CLOUD136,1315008,A03,524.0,TRUE
CLOUD227,CLOUD212,1315009,A03,583.0,TRUE
CLOUD171,CLOUD109,1315010,A03,677.0,TRUE
CLOUD153,DMSO,1315011,A03,752.0,TRUE
CLOUD156,CLOUD065,1315012,A03,290.0,TRUE
CLOUD090,CLOUD184,1315013,A03,726.0,TRUE
CLOUD009,CLOUD001,1315014,A03,561.0,TRUE
CLOUD041,CLOUD145,1315015,A03,579.0,TRUE
CLOUD075,CLOUD221,1315016,A03,464.0,TRUE
CLOUD002,CLOUD143,1315017,A03,91.0,TRUE
CLOUD131,CLOUD196,1315018,A03,369.0,TRUE
CLOUD139,CLOUD081,1315019,A03,58.0,TRUE
CLOUD055,CLOUD001,1315020,A03,524.0,TRUE
CLOUD153,DMSO,1315021,A03,583.0,TRUE
CLOUD166,CLOUD076,1315022,A03,519.0,TRUE
CLOUD106,CLOUD029,1315023,A03,703.0,TRUE
CLOUD043,CLOUD197,1315024,A03,536.0,TRUE
CLOUD176,CLOUD207,1315025,A03,798.0,FALSE
CLOUD104,CLOUD133,1315026,A03,360.0,TRUE
CLOUD029,CLOUD041,1315027,A03,673.0,TRUE
CLOUD006,CLOUD137,1315028,A03,384.0,TRUE
