CLOUD,Targets,Transporters,Enzymes,Carriers
CLOUD001,4306;2908;367,,,
CLOUD002,5972,,1576,
CLOUD003,7124;54106;259249;51311;51284;55775,3757,2939;1576;1565;1565;1543;1558;1577;4835;1544;5621;1559;1557,
CLOUD004,150;146;152,,1571;1544;1543;1565;1576;1557;1559,
CLOUD005,2554;706;2561;2562;2555;2566,,1576;1577;1551;316,
CLOUD006,3269;1128;1129;1131;1132;1133;148;3356;3358;3363;1813;150;152;146;1812;1814;151;1816;5914;3362;6311;4137;2475;7468;3357;2737;2100;3274;3725;7253;54799;5468;55775;367;7157,6530;6531;3757,1565;1544;1559;1576,5004
CLOUD007,4881;2982,,1576;1571,
CLOUD008,1814,,2147;1576;1577;5644,
CLOUD009,10951,213,43;43;590;1576;1544;1559;1565,213
CLOUD010,3269;2737;5914,,1576,
CLOUD011,1814;1813;1815;151;3350;3352;150;3351;3356;3357;3358;152;1812;1816;55775,6582;6580,,6582;6580
CLOUD012,1128;1129;1135;1131;1132;3725;7201;5029;259249;7253;5335;1133,,43;5321,
CLOUD013,1813;3356;3350;3351;3357;3358;3361;3362;3363;150;151;152;148;1812;1814;1815;3269;3274;153;154,,1544;1565;54657;1576,
CLOUD014,3360;3359,,,
CLOUD015,6595;1812,60482,3176;1558;1543;1545;1565;1559;1573;1544,
CLOUD016,5468;2182;5465;5467;6256;6257;6258;55847;3248;2864;760;6916,10599;213;8647,1558;1558;1559;1559;5742;1544;1548;1557;1565;4128;4129,10599;213
CLOUD017,6337;6338;6340;6339;40;41;6548;5328;135;7157;6553;9311,6582;6580;6583;60482,26;26;26;1544;4128,6582;6580
CLOUD018,51284;54106;1129;146,,1565,
CLOUD019,64805,5243;6532,1576;1555;1555;1577;1557;1559;1559;1544;1558;1066;5243;1565,5243
CLOUD020,23186;23028;3358,,4128;4129;1576;1565;1559;1557;1544;1571;1548;1555,
CLOUD021,4758;4759;10825,10257;6564;9376,1066;9376,
CLOUD022,1128,,,
CLOUD023,1813;1812;1816;1814;1815;3350;3363;1812;3359;9177;6571;768;146;147;148;150;4780;2737;55775;2237;771;4543;4544;23632;54737;761;766;763;11238;3091;7157;760;762;765;390245,6531;6530;6532;6582;6582;6580;6580;6581;6584;5460,1621;6647;4128;4129;1312;1621;1544;1557;1559;1565;759,6582;6582;6580;6580
CLOUD024,5693;5689;5707;7979;9861;5970;4791;5645;5646;5684;3091;9970;5914;143471;11047;79915;4780;3458;4790;5683;5682;2099;5685;5686;823;5688;5690;5691;5692;5694;1215;5696;5698;5699;5700;5701;5702;1991;5704;5705;5706;5687;5708;5709;5710;5327;5713;122706;5717;5718;5719;5467;5340;2100;55775;1504;1508;10213;1511;1514;5714;367;2161;2034;3315;7157;760;5695;2101,,1576;1576;1557;1557;1565;1544;1544;1559;1559;5644;1588;5476;2147;759,
CLOUD025,1813;50632;148;801;7134;6275;5893;1812;7066;3356;6311;84650;6323;6326;65975;6328;2740;10682;10951;5594;207;55775;5732;7398;5999;10280;7157;4088;57599,5243;3757,7498;54657;1544;5243;1557;1565;1576,5243
CLOUD026,1234;4988,55244;3757,1576;55244,55244
CLOUD027,5241;2908;367,213,1576;1544,213;5004
CLOUD028,185;1812,1244;1244;28234;10599,28234,10599
