Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,1.0,0,2.5,2.0,2.6666666666666665,2.6666666666666665
CLOUD001,CLOUD003,1.0,2.33333333333,2.11111111111,0.444444444444,2.0,2.5
CLOUD001,CLOUD004,1.0,2.0,2.5,1.0,2.6666666666666665,2.7777777777777777
CLOUD001,CLOUD005,1.0,1.83333333333,2.22222222222,0.805555555556,2.3333333333333335,2.5555555555555554
CLOUD001,CLOUD006,1.0,1.71428571429,1.97368421053,0.616541353383,0.6666666666666666,2.342857142857143
CLOUD001,CLOUD007,1.0,3.0,2.0,0.0,2.0,2.3333333333333335
CLOUD001,CLOUD008,1.0,0,2.25,1.75,2.3333333333333335,2.3333333333333335
CLOUD001,CLOUD009,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD010,1.0,2.33333333333,2.16666666667,0.5,2.0,2.4444444444444446
CLOUD001,CLOUD011,1.0,1.73333333333,2.38888888889,1.02222222222,2.0,2.6222222222222222
CLOUD001,CLOUD012,1.0,2.16666666667,2.06666666667,0.483333333333,1.3333333333333333,2.5555555555555554
CLOUD001,CLOUD013,1.0,1.73684210526,2.36363636364,0.995215311005,2.0,2.6315789473684212
CLOUD001,CLOUD014,1.0,3.0,2.4,0.4,2.3333333333333335,2.6666666666666665
CLOUD001,CLOUD015,1.0,3.0,1.4,-0.6,1.3333333333333333,1.8333333333333333
CLOUD001,CLOUD016,1.0,1.66666666667,1.86666666667,0.533333333333,1.3333333333333333,2.25
CLOUD001,CLOUD017,1.0,1.41666666667,1.93333333333,0.725,1.3333333333333333,2.361111111111111
CLOUD001,CLOUD018,1.0,2.0,2.14285714286,0.642857142857,2.0,2.5833333333333335
CLOUD001,CLOUD019,1.0,0,2.25,1.75,2.3333333333333335,2.3333333333333335
CLOUD001,CLOUD020,1.0,1.33333333333,1.33333333333,0.166666666667,1.3333333333333333,1.5555555555555556
CLOUD001,CLOUD021,1.0,3.0,2.5,0.5,2.3333333333333335,2.7777777777777777
CLOUD001,CLOUD022,1.0,0,3.0,2.5,3.0,3.0
