Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD003,0,2.33333333333,2.25,1.08333333333,2.0,2.3333333333333335
CLOUD001,CLOUD004,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD005,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD006,0,2.0,3.0,2.0,2.0,3.05
CLOUD001,CLOUD007,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD008,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD009,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD010,0,0,None,None,None,None
CLOUD001,CLOUD011,0,1.33333333333,2.5,1.83333333333,2.0,2.6666666666666665
CLOUD001,CLOUD012,0,2.0,3.14285714286,2.14285714286,3.0,3.1666666666666665
CLOUD001,CLOUD013,0,3.33333333333,2.75,1.08333333333,2.0,3.0
CLOUD001,CLOUD014,0,0,None,None,None,None
CLOUD001,CLOUD015,0,0,None,None,None,None
CLOUD001,CLOUD016,0,2.22222222222,2.5,1.38888888889,2.0,2.5555555555555554
CLOUD001,CLOUD017,0,3.0,2.5,1.0,2.0,2.6
CLOUD001,CLOUD018,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD019,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD020,0,1.6,2.83333333333,2.03333333333,2.0,3.0
CLOUD001,CLOUD021,0,0,None,None,None,None
CLOUD001,CLOUD022,0,0,None,None,None,None
CLOUD001,CLOUD023,0,1.5,2.63636363636,1.88636363636,2.0,2.7
CLOUD001,CLOUD024,0,1.57142857143,2.46666666667,1.68095238095,2.0,2.5
CLOUD001,CLOUD025,0,2.0,2.875,1.875,2.0,3.0
CLOUD001,CLOUD026,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD027,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD028,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD029,0,2.27272727273,3.0,1.86363636364,2.0,3.090909090909091
CLOUD001,CLOUD030,0,1.0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD031,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD032,0,1.0,2.5,2.0,2.0,2.6666666666666665
CLOUD001,CLOUD033,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD034,0,0,None,None,None,None
CLOUD001,CLOUD035,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD036,0,0,None,None,None,None
CLOUD001,CLOUD037,0,2.23529411765,2.94444444444,1.82679738562,2.0,3.0
CLOUD001,CLOUD038,0,1.22222222222,2.8,2.18888888889,2.0,2.888888888888889
CLOUD001,CLOUD039,0,0,None,None,None,None
CLOUD001,CLOUD040,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD041,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD042,0,2.28571428571,3.25,2.10714285714,3.0,3.2857142857142856
CLOUD001,CLOUD043,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD044,0,2.375,2.77777777778,1.59027777778,2.0,2.875
CLOUD001,CLOUD045,0,2.11111111111,3.1,2.04444444444,3.0,3.111111111111111
CLOUD001,CLOUD046,0,0,None,None,None,None
CLOUD001,CLOUD047,0,2.23529411765,2.88888888889,1.77124183007,2.0,2.9411764705882355
CLOUD001,CLOUD048,0,0,0.0,0.0,0.0,0.0
CLOUD001,CLOUD049,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD050,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD051,0,1.5,1.85714285714,1.10714285714,1.0,2.0
CLOUD001,CLOUD052,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD053,0,1.75,2.22222222222,1.34722222222,2.0,2.25
CLOUD001,CLOUD054,0,2.0,2.25,1.25,2.0,2.3333333333333335
CLOUD001,CLOUD055,0,0,None,None,None,None
CLOUD001,CLOUD056,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD057,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD058,0,1.90909090909,2.91666666667,1.96212121212,2.0,3.0
CLOUD001,CLOUD059,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD060,0,1.41666666667,2.92307692308,2.21474358974,2.0,3.0
CLOUD001,CLOUD061,0,1.5,2.6,1.85,2.0,2.75
CLOUD001,CLOUD062,0,1.94736842105,2.85,1.87631578947,2.0,2.8947368421052633
CLOUD001,CLOUD063,0,1.53846153846,2.35714285714,1.58791208791,2.0,2.3846153846153846
CLOUD001,CLOUD064,0,1.55,2.71428571429,1.93928571429,2.0,2.75
CLOUD001,CLOUD065,0,2.0,2.5,1.5,2.0,2.6666666666666665
CLOUD001,CLOUD066,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD067,0,0,None,None,None,None
CLOUD001,CLOUD068,0,1.86956521739,2.75,1.8152173913,2.0,2.782608695652174
CLOUD001,CLOUD069,0,2.0,2.71428571429,1.71428571429,2.0,2.769230769230769
CLOUD001,CLOUD070,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD071,0,1.2,2.0,1.4,1.0,2.05
CLOUD001,CLOUD072,0,1.125,1.33333333333,0.770833333333,0.0,1.5
CLOUD001,CLOUD073,0,2.07142857143,2.73333333333,1.69761904762,2.0,2.7857142857142856
CLOUD001,CLOUD074,0,2.33333333333,2.5,1.33333333333,2.0,2.6666666666666665
CLOUD001,CLOUD075,0,2.0,2.6,1.6,2.0,2.75
CLOUD001,CLOUD076,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD077,0,None,2.0,None,2.0,2.0
CLOUD001,CLOUD078,0,0,None,None,None,None
CLOUD001,CLOUD079,0,2.5,2.71428571429,1.46428571429,2.0,2.8333333333333335
CLOUD001,CLOUD080,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD081,0,0,None,None,None,None
CLOUD001,CLOUD082,0,1.6,2.33333333333,1.53333333333,2.0,2.4
CLOUD001,CLOUD083,0,0,2.0,2.0,2.0,2.0
