Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD003,0,0,None,None,None,None
CLOUD001,CLOUD004,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD005,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD006,0,2.11111111111,3.0,1.94444444444,2.0,3.0555555555555554
CLOUD001,CLOUD007,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD008,0,0,None,None,None,None
CLOUD001,CLOUD009,0,0,None,None,None,None
CLOUD001,CLOUD010,0,0,None,None,None,None
CLOUD001,CLOUD011,0,1.33333333333,2.5,1.83333333333,2.0,2.6666666666666665
CLOUD001,CLOUD012,0,2.0,3.14285714286,2.14285714286,3.0,3.1666666666666665
CLOUD001,CLOUD013,0,3.33333333333,2.75,1.08333333333,2.0,3.0
CLOUD001,CLOUD014,0,0,None,None,None,None
CLOUD001,CLOUD015,0,0,None,None,None,None
CLOUD001,CLOUD016,0,2.14285714286,2.375,1.30357142857,2.0,2.4285714285714284
CLOUD001,CLOUD017,0,3.0,2.4,0.9,2.0,2.5
CLOUD001,CLOUD018,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD019,0,0,None,None,None,None
CLOUD001,CLOUD020,0,0,None,None,None,None
CLOUD001,CLOUD021,0,0,None,None,None,None
CLOUD001,CLOUD022,0,0,None,None,None,None
CLOUD001,CLOUD023,0,1.5,2.55555555556,1.80555555556,2.0,2.625
CLOUD001,CLOUD024,0,1.41666666667,2.38461538462,1.67628205128,2.0,2.4166666666666665
CLOUD001,CLOUD025,0,2.0,3.16666666667,2.16666666667,3.0,3.2
CLOUD001,CLOUD026,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD027,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD028,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD029,0,2.2,2.90909090909,1.80909090909,2.0,3.0
CLOUD001,CLOUD030,0,0,None,None,None,None
CLOUD001,CLOUD031,0,0,None,None,None,None
CLOUD001,CLOUD032,0,1.0,2.5,2.0,2.0,2.6666666666666665
CLOUD001,CLOUD033,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD034,0,0,None,None,None,None
CLOUD001,CLOUD035,0,0,None,None,None,None
CLOUD001,CLOUD036,0,0,None,None,None,None
CLOUD001,CLOUD037,0,2.25,2.92307692308,1.79807692308,2.0,3.0
CLOUD001,CLOUD038,0,1.0,2.66666666667,2.16666666667,2.0,2.75
CLOUD001,CLOUD039,0,0,None,None,None,None
CLOUD001,CLOUD040,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD041,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD042,0,2.16666666667,3.14285714286,2.05952380952,3.0,3.1666666666666665
CLOUD001,CLOUD043,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD044,0,2.5,2.71428571429,1.46428571429,2.0,2.8333333333333335
CLOUD001,CLOUD045,0,2.11111111111,3.1,2.04444444444,3.0,3.111111111111111
CLOUD001,CLOUD046,0,0,None,None,None,None
CLOUD001,CLOUD047,0,2.11111111111,2.8,1.74444444444,2.0,2.888888888888889
CLOUD001,CLOUD048,0,0,0.0,0.0,0.0,0.0
CLOUD001,CLOUD049,0,0,None,None,None,None
CLOUD001,CLOUD050,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD051,0,1.5,1.4,0.65,1.0,1.5
CLOUD001,CLOUD052,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD053,0,1.75,2.22222222222,1.34722222222,2.0,2.25
CLOUD001,CLOUD054,0,2.0,2.25,1.25,2.0,2.3333333333333335
CLOUD001,CLOUD055,0,0,None,None,None,None
CLOUD001,CLOUD056,0,0,None,None,None,None
CLOUD001,CLOUD057,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD058,0,1.77777777778,2.8,1.91111111111,2.0,2.888888888888889
CLOUD001,CLOUD059,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD060,0,1.54545454545,2.91666666667,2.14393939394,2.0,3.0
CLOUD001,CLOUD061,0,2.33333333333,2.5,1.33333333333,2.0,2.6666666666666665
CLOUD001,CLOUD062,0,1.9375,2.82352941176,1.85477941176,2.0,2.875
CLOUD001,CLOUD063,0,1.4,2.27272727273,1.57272727273,2.0,2.3
CLOUD001,CLOUD064,0,1.47058823529,2.66666666667,1.93137254902,2.0,2.7058823529411766
CLOUD001,CLOUD065,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD066,0,0,None,None,None,None
CLOUD001,CLOUD067,0,0,None,None,None,None
CLOUD001,CLOUD068,0,1.85714285714,2.77272727273,1.84415584416,2.0,2.8095238095238093
CLOUD001,CLOUD069,0,2.0,2.75,1.75,2.0,2.8181818181818183
CLOUD001,CLOUD070,0,0,None,None,None,None
CLOUD001,CLOUD071,0,1.11111111111,1.94736842105,1.3918128655,1.0,2.0
CLOUD001,CLOUD072,0,1.0,1.0,0.5,0.0,1.1428571428571428
CLOUD001,CLOUD073,0,2.18181818182,2.75,1.65909090909,2.0,2.8181818181818183
CLOUD001,CLOUD074,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD075,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD076,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD077,0,0,None,None,None,None
CLOUD001,CLOUD078,0,0,None,None,None,None
CLOUD001,CLOUD079,0,2.4,2.66666666667,1.46666666667,2.0,2.8
CLOUD001,CLOUD080,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD081,0,0,None,None,None,None
CLOUD001,CLOUD082,0,1.6,2.33333333333,1.53333333333,2.0,2.4
CLOUD001,CLOUD083,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD084,0,1.94117647059,2.66666666667,1.69607843137,2.0,2.7058823529411766
CLOUD001,CLOUD085,0,0,None,None,None,None
CLOUD001,CLOUD086,0,0,None,None,None,None
CLOUD001,CLOUD087,0,2.0,2.0,1.0,2.0,2.0
CLOUD001,CLOUD088,0,1.4,1.66666666667,0.966666666667,1.0,1.8
CLOUD001,CLOUD089,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD090,0,0,None,None,None,None
CLOUD001,CLOUD091,0,2.2,2.66666666667,1.56666666667,2.0,2.8
CLOUD001,CLOUD092,0,1.3,2.81818181818,2.16818181818,2.0,2.9
CLOUD001,CLOUD093,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD094,0,0,None,None,None,None
CLOUD001,CLOUD095,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD096,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD097,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD098,0,0,None,None,None,None
CLOUD001,CLOUD099,0,0,None,None,None,None
CLOUD001,CLOUD100,0,None,2.0,None,2.0,2.0
CLOUD001,CLOUD101,0,1.4,2.0,1.3,2.0,2.0
CLOUD001,CLOUD102,0,0,None,None,None,None
CLOUD001,CLOUD103,0,0,None,None,None,None
CLOUD001,CLOUD104,0,0,None,None,None,None
CLOUD001,CLOUD105,0,0,None,None,None,None
CLOUD001,CLOUD106,0,1.22222222222,1.5,0.888888888889,0.0,1.6666666666666667
CLOUD001,CLOUD107,0,1.0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD108,0,0,None,None,None,None
CLOUD001,CLOUD109,0,2.0,2.9,1.9,2.0,2.9473684210526314
CLOUD001,CLOUD110,0,1.5,3.0,2.25,3.0,3.0
CLOUD001,CLOUD111,0,0,None,None,None,None
CLOUD001,CLOUD112,0,1.09523809524,2.09090909091,1.54329004329,2.0,2.0952380952380953
CLOUD001,CLOUD113,0,2.25,2.4,1.275,2.0,2.5
CLOUD001,CLOUD114,0,1.6875,2.47058823529,1.62683823529,2.0,2.5
CLOUD001,CLOUD115,0,1.0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD116,0,0,None,None,None,None
CLOUD001,CLOUD117,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD118,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD119,0,1.4,1.66666666667,0.966666666667,1.0,1.8
CLOUD001,CLOUD120,0,0,None,None,None,None
CLOUD001,CLOUD121,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD122,0,2.5,2.57142857143,1.32142857143,2.0,2.6666666666666665
CLOUD001,CLOUD123,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD124,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD125,0,0,None,None,None,None
CLOUD001,CLOUD126,0,2.0,2.7,1.7,2.0,2.7777777777777777
CLOUD001,CLOUD127,0,0,None,None,None,None
CLOUD001,CLOUD128,0,0,None,None,None,None
CLOUD001,CLOUD129,0,0,None,None,None,None
CLOUD001,CLOUD130,0,0,None,None,None,None
CLOUD001,CLOUD131,0,0,None,None,None,None
CLOUD001,CLOUD132,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD133,0,1.77777777778,2.7,1.81111111111,2.0,2.7777777777777777
CLOUD001,CLOUD134,0,2.3,2.81818181818,1.66818181818,2.0,2.9
CLOUD001,CLOUD135,0,0,None,None,None,None
CLOUD001,CLOUD136,0,0,1.0,1.0,1.0,1.0
CLOUD001,CLOUD137,0,0,None,None,None,None
CLOUD001,CLOUD138,0,0,None,None,None,None
CLOUD001,CLOUD139,0,0,None,None,None,None
CLOUD001,CLOUD140,0,0,None,None,None,None
CLOUD001,CLOUD141,0,2.0,2.0,1.0,2.0,2.0
CLOUD001,CLOUD142,0,3.0,1.5,0.0,1.0,1.6666666666666667
CLOUD001,CLOUD143,0,0,None,None,None,None
CLOUD001,CLOUD144,0,0,None,None,None,None
CLOUD001,CLOUD145,0,2.4,2.72727272727,1.52727272727,2.0,2.8
CLOUD001,CLOUD146,0,0,None,None,None,None
CLOUD001,CLOUD147,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD148,0,0,None,None,None,None
CLOUD001,CLOUD149,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD150,0,0,None,None,None,None
CLOUD001,CLOUD151,0,0,None,None,None,None
CLOUD001,CLOUD152,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD153,0,0,None,None,None,None
CLOUD001,CLOUD154,0,0,None,None,None,None
CLOUD001,CLOUD155,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD156,0,0,None,None,None,None
CLOUD001,CLOUD157,0,0,None,None,None,None
CLOUD001,CLOUD158,0,1.33333333333,1.75,1.08333333333,1.0,2.0
CLOUD001,CLOUD159,0,2.2,2.5,1.4,2.0,2.6
CLOUD001,CLOUD160,0,0,None,None,None,None
CLOUD001,CLOUD161,0,0,None,None,None,None
CLOUD001,CLOUD162,0,0,None,None,None,None
CLOUD001,CLOUD163,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD164,0,0,None,None,None,None
CLOUD001,CLOUD165,0,1.0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD166,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD167,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD168,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD169,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD170,0,0,None,None,None,None
CLOUD001,CLOUD171,0,0,None,None,None,None
CLOUD001,CLOUD172,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD173,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD174,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD175,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD176,0,0,None,None,None,None
CLOUD001,CLOUD177,0,0,None,None,None,None
CLOUD001,CLOUD178,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD179,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD180,0,1.0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD181,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD182,0,0,None,None,None,None
CLOUD001,CLOUD183,0,0,None,None,None,None
CLOUD001,CLOUD184,0,2.21428571429,2.86666666667,1.75952380952,2.0,2.9285714285714284
CLOUD001,CLOUD185,0,0,None,None,None,None
CLOUD001,CLOUD186,0,2.0,2.25,1.25,2.0,2.3333333333333335
CLOUD001,CLOUD187,0,3.33333333333,3.0,1.33333333333,3.0,3.0
CLOUD001,CLOUD188,0,0,None,None,None,None
CLOUD001,CLOUD189,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD190,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD191,0,0,None,None,None,None
CLOUD001,CLOUD192,0,2.21428571429,2.73333333333,1.62619047619,2.0,2.7857142857142856
CLOUD001,CLOUD193,0,0,None,None,None,None
CLOUD001,CLOUD194,0,0,None,None,None,None
CLOUD001,CLOUD195,0,0,None,None,None,None
CLOUD001,CLOUD196,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD197,0,0,None,None,None,None
CLOUD001,CLOUD198,0,2.6,2.83333333333,1.53333333333,2.0,3.0
CLOUD001,CLOUD199,0,0,None,None,None,None
CLOUD001,CLOUD200,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD201,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD202,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD203,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD204,0,2.25,3.0,1.875,2.0,3.0833333333333335
CLOUD001,CLOUD205,0,1.13333333333,1.9375,1.37083333333,1.0,2.0
CLOUD001,CLOUD206,0,2.0,2.5,1.5,2.0,2.6666666666666665
CLOUD001,CLOUD207,0,0,None,None,None,None
CLOUD001,CLOUD208,0,0,None,None,None,None
CLOUD001,CLOUD209,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD210,0,0,None,None,None,None
CLOUD001,CLOUD211,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD212,0,0,None,None,None,None
CLOUD001,CLOUD213,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD214,0,0,None,None,None,None
CLOUD001,CLOUD215,0,0,None,None,None,None
CLOUD001,CLOUD216,0,0,None,None,None,None
CLOUD001,CLOUD217,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD218,0,0,None,None,None,None
CLOUD001,CLOUD219,0,1.26315789474,2.1,1.46842105263,1.0,2.1578947368421053
CLOUD001,CLOUD220,0,0,None,None,None,None
CLOUD001,CLOUD221,0,0,None,None,None,None
CLOUD001,CLOUD222,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD223,0,2.2,2.66666666667,1.56666666667,2.0,2.8
CLOUD001,CLOUD224,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD225,0,0,None,None,None,None
CLOUD001,CLOUD226,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD227,0,0,None,None,None,None
CLOUD001,CLOUD228,0,0,None,None,None,None
CLOUD001,CLOUD229,0,0,None,None,None,None
CLOUD001,CLOUD230,0,0,None,None,None,None
CLOUD001,CLOUD231,0,0,None,None,None,None
CLOUD001,CLOUD232,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD233,0,0,None,None,None,None
CLOUD001,CLOUD234,0,1.33333333333,2.2,1.53333333333,2.0,2.2222222222222223
CLOUD001,CLOUD235,0,2.2,2.72727272727,1.62727272727,2.0,2.8
CLOUD001,CLOUD236,0,0,None,None,None,None
CLOUD001,CLOUD237,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD238,0,0,None,None,None,None
CLOUD001,CLOUD239,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD240,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD241,0,2.18181818182,2.83333333333,1.74242424242,2.0,2.909090909090909
CLOUD001,CLOUD242,0,0,None,None,None,None
CLOUD001,CLOUD243,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD244,0,1.66666666667,2.5,1.66666666667,2.0,2.6666666666666665
CLOUD001,CLOUD245,0,0,None,None,None,None
CLOUD001,CLOUD246,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD247,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD248,0,0,None,None,None,None
CLOUD001,CLOUD249,0,0,None,None,None,None
CLOUD001,CLOUD250,0,0,None,None,None,None
CLOUD001,CLOUD251,0,1.75,3.0,2.125,3.0,3.0
CLOUD001,CLOUD252,0,0,None,None,None,None
CLOUD001,CLOUD253,0,None,2.0,None,2.0,2.0
CLOUD001,CLOUD254,0,0,None,None,None,None
CLOUD001,CLOUD255,0,1.71428571429,2.25,1.39285714286,1.0,2.4285714285714284
CLOUD001,CLOUD256,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD257,0,0,None,None,None,None
CLOUD001,CLOUD258,0,None,3.0,None,3.0,3.0
CLOUD001,CLOUD259,0,0,None,None,None,None
CLOUD001,CLOUD260,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD261,0,0,None,None,None,None
CLOUD001,CLOUD262,0,2.125,2.66666666667,1.60416666667,2.0,2.75
CLOUD001,CLOUD263,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD264,0,2.0,3.25,2.25,3.0,3.3333333333333335
CLOUD001,CLOUD265,0,0,None,None,None,None
CLOUD001,CLOUD266,0,0,None,None,None,None
CLOUD001,CLOUD267,0,1.0,3.57142857143,3.07142857143,3.0,3.6666666666666665
CLOUD002,CLOUD003,0,0,None,None,None,None
CLOUD002,CLOUD004,0,2.0,3.5,2.5,3.0,3.6666666666666665
CLOUD002,CLOUD005,0,2.0,3.0,2.0,3.0,3.0
CLOUD002,CLOUD006,0,2.11111111111,3.57894736842,2.52339181287,3.0,3.611111111111111
CLOUD002,CLOUD007,0,0,3.0,3.0,3.0,3.0
CLOUD002,CLOUD008,0,0,None,None,None,None
CLOUD002,CLOUD009,0,0,None,None,None,None
CLOUD002,CLOUD010,0,0,None,None,None,None
CLOUD002,CLOUD011,0,1.33333333333,3.25,2.58333333333,3.0,3.3333333333333335
CLOUD002,CLOUD012,0,2.0,3.42857142857,2.42857142857,3.0,3.5
CLOUD002,CLOUD013,0,3.33333333333,3.5,1.83333333333,3.0,3.6666666666666665
CLOUD002,CLOUD014,0,0,None,None,None,None
CLOUD002,CLOUD015,0,0,None,None,None,None
CLOUD002,CLOUD016,0,2.14285714286,3.125,2.05357142857,3.0,3.142857142857143
CLOUD002,CLOUD017,0,3.0,3.0,1.5,2.0,3.25
CLOUD002,CLOUD018,0,2.0,3.33333333333,2.33333333333,3.0,3.5
CLOUD002,CLOUD019,0,0,None,None,None,None
CLOUD002,CLOUD020,0,0,None,None,None,None
CLOUD002,CLOUD021,0,0,None,None,None,None
CLOUD002,CLOUD022,0,0,None,None,None,None
CLOUD002,CLOUD023,0,1.5,3.44444444444,2.69444444444,3.0,3.5
CLOUD002,CLOUD024,0,1.41666666667,2.84615384615,2.13782051282,2.0,2.9166666666666665
CLOUD002,CLOUD025,0,2.0,3.33333333333,2.33333333333,3.0,3.4
CLOUD002,CLOUD026,0,None,3.0,None,3.0,3.0
CLOUD002,CLOUD027,0,0,3.0,3.0,3.0,3.0
CLOUD002,CLOUD028,0,0,2.0,2.0,2.0,2.0
CLOUD002,CLOUD029,0,2.2,3.45454545455,2.35454545455,3.0,3.5
CLOUD002,CLOUD030,0,0,None,None,None,None
CLOUD002,CLOUD031,0,0,None,None,None,None
CLOUD002,CLOUD032,0,1.0,3.5,3.0,3.0,3.6666666666666665
CLOUD002,CLOUD033,0,0,3.0,3.0,3.0,3.0
CLOUD002,CLOUD034,0,0,None,None,None,None
