Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,0,3.0,2.33333333333,0.833333333333,2.0,2.5
CLOUD001,CLOUD003,0,2.11111111111,2.9,1.84444444444,2.0,3.0
CLOUD001,CLOUD004,0,2.2,2.83333333333,1.73333333333,2.0,3.0
CLOUD001,CLOUD005,0,2.0,2.85714285714,1.85714285714,2.0,3.0
CLOUD001,CLOUD006,0,2.1875,2.94117647059,1.84742647059,2.0,3.0
CLOUD001,CLOUD007,0,2.33333333333,2.25,1.08333333333,2.0,2.3333333333333335
CLOUD001,CLOUD008,0,2.33333333333,2.5,1.33333333333,2.0,2.6666666666666665
CLOUD001,CLOUD009,0,2.0,2.66666666667,1.66666666667,2.0,2.8
CLOUD001,CLOUD010,0,5.0,2.66666666667,0.166666666667,2.0,3.0
CLOUD001,CLOUD011,0,1.6875,2.82352941176,1.97977941176,2.0,2.875
CLOUD001,CLOUD012,0,2.57142857143,3.125,1.83928571429,3.0,3.142857142857143
CLOUD001,CLOUD013,0,1.77272727273,2.86956521739,1.98320158103,2.0,2.909090909090909
CLOUD001,CLOUD014,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD015,0,2.0,3.14285714286,2.14285714286,3.0,3.1666666666666665
CLOUD001,CLOUD016,0,1.44444444444,2.57894736842,1.8567251462,1.0,2.6666666666666665
CLOUD001,CLOUD017,0,1.92857142857,2.73333333333,1.76904761905,2.0,2.7857142857142856
CLOUD001,CLOUD018,0,2.33333333333,2.75,1.58333333333,2.0,3.0
CLOUD001,CLOUD019,0,1.91666666667,2.92307692308,1.96474358974,2.0,3.0
CLOUD001,CLOUD020,0,1.33333333333,2.8,2.13333333333,2.0,2.888888888888889
CLOUD001,CLOUD021,0,2.66666666667,3.0,1.66666666667,3.0,3.0
CLOUD001,CLOUD022,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD023,0,1.74193548387,2.9375,2.06653225806,2.0,2.967741935483871
CLOUD001,CLOUD024,0,1.18181818182,2.83333333333,2.24242424242,2.0,2.909090909090909
CLOUD001,CLOUD025,0,2.0,2.6,1.6,2.0,2.6666666666666665
CLOUD001,CLOUD026,0,3.0,2.33333333333,0.833333333333,2.0,2.5
CLOUD001,CLOUD027,0,1.42857142857,2.0,1.28571428571,1.0,2.142857142857143
CLOUD001,CLOUD028,0,2.25,2.4,1.275,2.0,2.5
CLOUD001,CLOUD029,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD030,0,1.0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD031,0,1.95,2.80952380952,1.83452380952,2.0,2.85
CLOUD001,CLOUD032,0,1.72727272727,2.75,1.88636363636,2.0,2.8181818181818183
CLOUD001,CLOUD033,0,1.625,3.0,2.1875,2.0,3.0625
CLOUD001,CLOUD034,0,1.0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD035,0,2.25,2.66666666667,1.54166666667,2.0,2.75
CLOUD001,CLOUD036,0,1.5,2.88888888889,2.13888888889,2.0,3.0
CLOUD001,CLOUD037,0,1.31578947368,3.05,2.39210526316,2.0,3.1052631578947367
CLOUD001,CLOUD038,0,1.6,2.5,1.7,2.0,2.6
CLOUD001,CLOUD039,0,4.0,3.25,1.25,3.0,3.3333333333333335
CLOUD001,CLOUD040,0,3.33333333333,3.0,1.33333333333,3.0,3.0
CLOUD001,CLOUD041,0,1.83333333333,2.71428571429,1.79761904762,2.0,2.8333333333333335
CLOUD001,CLOUD042,0,2.0,3.16666666667,2.16666666667,3.0,3.2
CLOUD001,CLOUD043,0,1.71428571429,2.125,1.26785714286,1.0,2.2857142857142856
CLOUD001,CLOUD044,0,1.86046511628,2.93181818182,2.00158562368,2.0,2.953488372093023
CLOUD001,CLOUD045,0,2.25,3.2,2.075,3.0,3.25
CLOUD001,CLOUD046,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD047,0,2.11111111111,3.0,1.94444444444,2.0,3.111111111111111
CLOUD001,CLOUD048,0,0,None,None,None,None
CLOUD001,CLOUD049,0,1.5652173913,2.875,2.09239130435,2.0,2.9130434782608696
CLOUD001,CLOUD050,0,2.5,3.0,1.75,3.0,3.0
CLOUD001,CLOUD051,0,1.90322580645,2.78125,1.82963709677,0.0,2.870967741935484
CLOUD001,CLOUD052,0,2.6,3.0,1.7,3.0,3.0
CLOUD001,CLOUD053,0,1.67567567568,2.68421052632,1.84637268848,2.0,2.7027027027027026
CLOUD001,CLOUD054,0,1.66666666667,2.71428571429,1.88095238095,2.0,2.8333333333333335
CLOUD001,CLOUD055,0,2.2,2.83333333333,1.73333333333,2.0,3.0
CLOUD001,CLOUD056,0,2.5,3.06666666667,1.81666666667,2.0,3.142857142857143
CLOUD001,CLOUD057,0,2.33333333333,2.6,1.43333333333,2.0,2.6666666666666665
CLOUD001,CLOUD058,0,1.66666666667,2.69230769231,1.85897435897,2.0,2.75
