Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD003,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD004,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD005,0,4.0,3.0,1.0,3.0,3.0
CLOUD001,CLOUD006,0,2.16666666667,2.84615384615,1.76282051282,2.0,2.9166666666666665
CLOUD001,CLOUD007,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD008,0,0,None,None,None,None
CLOUD001,CLOUD009,0,0,None,None,None,None
CLOUD001,CLOUD010,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD011,0,1.64285714286,2.8,1.97857142857,2.0,2.857142857142857
CLOUD001,CLOUD012,0,2.4,3.16666666667,1.96666666667,3.0,3.2
CLOUD001,CLOUD013,0,1.73684210526,2.85,1.98157894737,2.0,2.8947368421052633
CLOUD001,CLOUD014,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD015,0,0,None,None,None,None
CLOUD001,CLOUD016,0,1.14285714286,1.875,1.30357142857,1.0,2.0
CLOUD001,CLOUD017,0,1.375,2.55555555556,1.86805555556,2.0,2.625
CLOUD001,CLOUD018,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD019,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD020,0,0,None,None,None,None
CLOUD001,CLOUD021,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD022,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD023,0,1.72727272727,2.83333333333,1.9696969697,2.0,2.909090909090909
CLOUD001,CLOUD024,0,1.0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD025,0,1.83333333333,2.57142857143,1.65476190476,2.0,2.6666666666666665
CLOUD001,CLOUD026,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD027,0,1.33333333333,1.25,0.583333333333,1.0,1.3333333333333333
CLOUD001,CLOUD028,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD029,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD030,0,0,None,None,None,None
CLOUD001,CLOUD031,0,0,None,None,None,None
CLOUD001,CLOUD032,0,1.42857142857,2.625,1.91071428571,2.0,2.7142857142857144
CLOUD001,CLOUD033,0,0,None,None,None,None
CLOUD001,CLOUD034,0,0,None,None,None,None
CLOUD001,CLOUD035,0,3.0,2.85714285714,1.35714285714,2.0,3.0
CLOUD001,CLOUD036,0,0,None,None,None,None
CLOUD001,CLOUD037,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD038,0,1.5,2.6,1.85,2.0,2.75
CLOUD001,CLOUD039,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD040,0,4.0,3.0,1.0,3.0,3.0
CLOUD001,CLOUD041,0,0,None,None,None,None
CLOUD001,CLOUD042,0,2.0,3.16666666667,2.16666666667,3.0,3.2
CLOUD001,CLOUD043,0,1.0,1.5,1.0,1.0,1.6666666666666667
CLOUD001,CLOUD044,0,2.0,2.77272727273,1.77272727273,2.0,2.8095238095238093
CLOUD001,CLOUD045,0,2.25,3.2,2.075,3.0,3.25
CLOUD001,CLOUD046,0,0,None,None,None,None
CLOUD001,CLOUD047,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD048,0,0,None,None,None,None
CLOUD001,CLOUD049,0,1.53333333333,3.0,2.23333333333,3.0,3.0
CLOUD001,CLOUD050,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD051,0,1.0,0.75,0.25,0.0,1.0
CLOUD001,CLOUD052,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD053,0,1.4,2.5,1.8,2.0,2.6
CLOUD001,CLOUD054,0,1.0,2.6,2.1,2.0,2.75
CLOUD001,CLOUD055,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD056,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD057,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD058,0,1.5,2.42857142857,1.67857142857,2.0,2.5
CLOUD001,CLOUD059,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD060,0,1.5,3.2,2.45,3.0,3.25
CLOUD001,CLOUD061,0,0,None,None,None,None
CLOUD001,CLOUD062,0,0,None,None,None,None
CLOUD001,CLOUD063,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD064,0,1.22222222222,1.9,1.28888888889,1.0,2.0
CLOUD001,CLOUD065,0,0,None,None,None,None
CLOUD001,CLOUD066,0,0,None,None,None,None
CLOUD001,CLOUD067,0,3.0,2.5,1.0,2.0,2.6666666666666665
CLOUD001,CLOUD068,0,1.75,2.76470588235,1.88970588235,2.0,2.8125
CLOUD001,CLOUD069,0,1.5,3.2,2.45,3.0,3.25
CLOUD001,CLOUD070,0,0,None,None,None,None
CLOUD001,CLOUD071,0,1.25,2.22222222222,1.59722222222,2.0,2.25
CLOUD001,CLOUD072,0,1.66666666667,1.42857142857,0.595238095238,0.0,1.6666666666666667
CLOUD001,CLOUD073,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD074,0,0,None,None,None,None
CLOUD001,CLOUD075,0,2.33333333333,2.5,1.33333333333,2.0,2.6666666666666665
CLOUD001,CLOUD076,0,0,None,None,None,None
CLOUD001,CLOUD077,0,0,None,None,None,None
CLOUD001,CLOUD078,0,0,None,None,None,None
CLOUD001,CLOUD079,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD080,0,1.0,1.71428571429,1.21428571429,1.0,1.8333333333333333
CLOUD001,CLOUD081,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD082,0,1.28571428571,2.125,1.48214285714,2.0,2.142857142857143
CLOUD001,CLOUD083,0,0,None,None,None,None
CLOUD001,CLOUD084,0,1.75,2.90909090909,2.03409090909,2.0,2.9375
CLOUD001,CLOUD085,0,0,None,None,None,None
CLOUD001,CLOUD086,0,2.0,1.33333333333,0.333333333333,1.0,1.5
CLOUD001,CLOUD087,0,1.0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD088,0,2.0,2.0,1.0,2.0,2.0
CLOUD001,CLOUD089,0,0,None,None,None,None
CLOUD001,CLOUD090,0,0,None,None,None,None
CLOUD001,CLOUD091,0,0,None,None,None,None
CLOUD001,CLOUD092,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD093,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD094,0,0,None,None,None,None
CLOUD001,CLOUD095,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD096,0,3.0,3.0,1.5,3.0,3.0
CLOUD001,CLOUD097,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD098,0,1.25,3.4,2.775,3.0,3.5
CLOUD001,CLOUD099,0,0,None,None,None,None
CLOUD001,CLOUD100,0,2.0,2.33333333333,1.33333333333,2.0,2.5
CLOUD001,CLOUD101,0,1.16666666667,2.0,1.41666666667,2.0,2.0
CLOUD001,CLOUD102,0,0,3.0,3.0,3.0,3.0
CLOUD001,CLOUD103,0,0,None,None,None,None
CLOUD001,CLOUD104,0,0,None,None,None,None
CLOUD001,CLOUD105,0,2.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD106,0,0,1.0,1.0,1.0,1.0
CLOUD001,CLOUD107,0,1.0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD108,0,0,None,None,None,None
CLOUD001,CLOUD109,0,1.81818181818,2.91304347826,2.00395256917,2.0,2.9545454545454546
CLOUD001,CLOUD110,0,1.5,3.0,2.25,3.0,3.0
CLOUD001,CLOUD111,0,0,None,None,None,None
CLOUD001,CLOUD112,0,1.4,2.0,1.3,2.0,2.0
CLOUD001,CLOUD113,0,0,None,None,None,None
CLOUD001,CLOUD114,0,1.22222222222,2.1,1.48888888889,2.0,2.111111111111111
CLOUD001,CLOUD115,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD116,0,1.4,3.25,2.55,3.0,3.2666666666666666
CLOUD001,CLOUD117,0,2.0,2.0,1.0,2.0,2.0
CLOUD001,CLOUD118,0,0,4.0,4.0,4.0,4.0
CLOUD001,CLOUD119,0,0,2.0,2.0,2.0,2.0
CLOUD001,CLOUD120,0,0,None,None,None,None
CLOUD001,CLOUD121,0,2.0,2.4,1.4,2.0,2.5
