Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD001,CLOUD002,1.0,0,2.33333333333,1.83333333333,2.5,2.5
CLOUD001,CLOUD003,1.0,1.76923076923,2.26666666667,0.882051282051,2.0,2.3846153846153846
CLOUD001,CLOUD004,1.0,1.57142857143,2.33333333333,1.04761904762,2.0,2.5714285714285716
CLOUD001,CLOUD005,1.0,1.6,2.0,0.7,2.0,2.2
CLOUD001,CLOUD006,1.0,1.675,2.02380952381,0.68630952381,0.5,2.2125
CLOUD001,CLOUD007,1.0,0,None,None,None,None
CLOUD001,CLOUD008,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD009,1.0,1.66666666667,2.375,1.04166666667,2.0,2.5
CLOUD001,CLOUD010,1.0,2.0,2.0,0.5,2.0,2.0
CLOUD001,CLOUD011,1.0,1.8,2.0,0.6,2.0,2.0
CLOUD001,CLOUD012,1.0,2.0,1.92307692308,0.423076923077,1.0,2.272727272727273
CLOUD001,CLOUD013,1.0,0,3.0,2.5,3.0,3.0
CLOUD001,CLOUD014,1.0,0,None,None,None,None
CLOUD001,CLOUD015,1.0,2.57142857143,2.22222222222,0.436507936508,1.0,2.5714285714285716
CLOUD001,CLOUD016,1.0,1.88888888889,2.18181818182,0.737373737374,1.5,2.4444444444444446
CLOUD001,CLOUD017,1.0,2.375,1.9,0.2125,1.0,2.25
CLOUD001,CLOUD018,1.0,2.0,2.16666666667,0.666666666667,2.0,2.5
CLOUD001,CLOUD019,1.0,1.75,2.4,1.025,2.0,2.5625
CLOUD001,CLOUD020,1.0,1.5,2.1,0.85,1.0,2.375
CLOUD001,CLOUD021,1.0,0,2.0,1.5,2.0,2.0
CLOUD001,CLOUD022,1.0,0,None,None,None,None
CLOUD001,CLOUD023,1.0,1.63333333333,2.125,0.808333333333,1.0,2.283333333333333
CLOUD001,CLOUD024,1.0,1.19178082192,1.90666666667,0.810776255708,0.5,2.0136986301369864
CLOUD001,CLOUD025,1.0,1.63333333333,2.0,0.683333333333,1.0,2.1
CLOUD001,CLOUD026,1.0,2.5,2.16666666667,0.416666666667,2.0,2.25
CLOUD001,CLOUD027,1.0,0,None,None,None,None
CLOUD001,CLOUD028,1.0,3.0,2.25,0.25,2.0,2.5
CLOUD001,CLOUD029,1.0,2.38461538462,2.46666666667,0.774358974359,2.0,2.6153846153846154
CLOUD001,CLOUD030,1.0,1.0,3.0,2.0,3.0,3.0
CLOUD001,CLOUD031,1.0,1.33333333333,1.58823529412,0.421568627451,0.5,1.8333333333333333
CLOUD001,CLOUD032,1.0,1.45454545455,2.23076923077,1.0034965035,2.0,2.272727272727273
CLOUD001,CLOUD033,1.0,0,None,None,None,None
CLOUD001,CLOUD034,1.0,0,None,None,None,None
