Drug1,Drug2,MACCS_TanimotoSimilarity
CLOUD046,CLOUD044,0.372549019608
CLOUD046,CLOUD045,0.31884057971
CLOUD255,CLOUD099,0.169491525424
CLOUD255,CLOUD098,0.127272727273
CLOUD255,CLOUD093,0.361445783133
CLOUD255,CLOUD092,0.298850574713
CLOUD255,CLOUD091,0.0645161290323
CLOUD255,CLOUD090,0.235294117647
CLOUD255,CLOUD097,0.138461538462
CLOUD255,CLOUD096,0.393442622951
CLOUD255,CLOUD095,0.238805970149
CLOUD255,CLOUD094,0.262295081967
CLOUD205,CLOUD067,0.712328767123
CLOUD205,CLOUD066,0.478873239437
CLOUD205,CLOUD065,0.376623376623
CLOUD205,CLOUD064,0.434782608696
CLOUD205,CLOUD063,0.521126760563
CLOUD205,CLOUD062,0.180555555556
CLOUD205,CLOUD061,0.581081081081
CLOUD205,CLOUD060,0.333333333333
CLOUD205,CLOUD069,0.566265060241
CLOUD205,CLOUD068,0.657534246575
CLOUD199,CLOUD144,0.211267605634
CLOUD199,CLOUD145,0.31746031746
CLOUD201,CLOUD083,0.333333333333
CLOUD199,CLOUD147,0.360655737705
CLOUD199,CLOUD140,0.44
CLOUD199,CLOUD141,0.342105263158
CLOUD199,CLOUD142,0.220588235294
CLOUD199,CLOUD143,0.285714285714
CLOUD201,CLOUD089,0.328571428571
CLOUD201,CLOUD088,0.135593220339
CLOUD260,CLOUD208,0.230769230769
CLOUD260,CLOUD209,0.149253731343
CLOUD199,CLOUD148,0.160714285714
CLOUD199,CLOUD149,0.397260273973
CLOUD057,CLOUD031,0.476923076923
CLOUD057,CLOUD030,0.151515151515
CLOUD057,CLOUD033,0.235294117647
CLOUD057,CLOUD032,0.12676056338
CLOUD057,CLOUD035,0.290322580645
CLOUD057,CLOUD034,0.478873239437
CLOUD057,CLOUD037,0.16
CLOUD057,CLOUD036,0.228571428571
CLOUD057,CLOUD039,0.357142857143
CLOUD057,CLOUD038,0.513513513514
CLOUD232,CLOUD146,0.4
CLOUD229,CLOUD106,0.222222222222
CLOUD232,CLOUD144,0.396825396825
