CLOUD,PubChem,SIDER_Ids
CLOUD001,11876263,
CLOUD002,100216209,C0018099;C0009782;C0015230;C0004604;C0022346;C0002994;C0021400;C0850149;C0014518;C0151205;C0037011;C0041834;C0574067;C0162119;C0494475;C0010200;C0241863;C0020517;C0014591;C0027121;C0019158;C0027765;C0042029;C0038325;C0033774;C0022650;C0042373;C0013604;C0021053;C0041912;C0267792;C0012833;C0022660;C0857189;C0041981;C0000737;C0151539;C0042109;C0023895;C0178298;C0553704;C0002871;C0700225;C0018799;C0015672;C1565489;C0151578;C0038999;C0595938;C0035455;C0744727;C0917801;C0013395;C0004093;C0042571;C0025061;C0011991;C0007102;C0017168;C0006277;C0858635;C0085605;C0036572;C0009806;C0030252;C0020461;C0027441;C0030196;C0151602;C0002792;C0027497;C0085649;C1868885;C0041657;C0086565;C0003862;C0017178;C0037763;C0007859;C0020649;C0035410;C0042075;C0235431;C0018681
CLOUD003,100002719,C0015371;C0014742;C0040485;C0002994;C0878544;C0085631;C0014518;C0340865;C0333641;C0011609;C0302295;C0040034;C0019158;C0009676;C0018772;C0038325;C0024437;C0027947;C0917801;C0033774;C0235272;C0001824;C0241442;C0042109;C0240735;C0002874;C0027868;C0751494;C0011606;C0028077;C0032541;C0429097;C0004093;C0547030;C0011991;C0040264;C0042963;C0003467;C0033975;C0013384;C0036454;C0030312;C0237849;C0026848;C0155550;C0542184;C0027497;C0011206;C0003123;C0010038;C0023646;C0002170;C0349506;C0018524;C1168188;C0014457;C0020649;C0000729;C0855329;C0730362;C0344232
CLOUD004,100060612,C0020433;C0032961;C0015967;C0162119;C0003578;C0009676;C0042029;C0392676;C0004936;C0000731;C0009806;C0042790;C0027051;C0342579;C0043352;C0002871;C0235063;C0003811;C0035222;C0027796;C0151603;C0036983;C0020598;C0030193;C0011127;C0027497;C0340464;C0428977;C0004238;C0039240;C0151723;C0020621;C0032227;C0424790;C0004144;C0020903;C0032285;C0856880;C3665386;C0085614;C0085612;C0085593;C0022658;C2830004;C0162429;C0020456;C0009450;C0020615;C0012833;C0151539;C0042514;C0086565;C0085682;C0546817;C0151662;C0235750;C0239981;C0011991;C0007166;C0004245;C0151744;C0036572;C0034063;C0038587;C0020440;C0003467;C0546884;C0235222;C0017178;C0852908;C0520888;C0020538;C0015230;C0085635;C0085631;C0006266;C0242073;C0042373;C0151905;C0151904;C0018794;C0022660;C0018790;C0025061;C0020672;C0018799;C0028961;C0039231;C0039239;C3203358;C0085649;C0020461;C1145670;C0011206;C0039971;C0027813;C0541782;C0231837;C0001127;C0001122;C0475746;C0221016;C0040034;C0019080;C0221155;C0043144;C0007222;C0021308;C0000737;C0242184;C0013404;C0858635;C0037822;C0243026;C0042963;C0031117;C0549405;C0151849;C0023518;C0018524;C0919874;C0700590;C0020649;C0220981;C0020488;C0018681
CLOUD005,100005719,C0017152;C0030193;C0004604;C0013456;C0036454;C0012569;C0151636;C0034880;C0037036;C0020433;C0015967;C0542571;C0003578;C0011253;C0558489;C0020615;C0014868;C0027121;C0009676;C0917801;C0042024;C0004936;C0740394;C0262662;C0042023;C0151826;C0033774;C0151824;C0271710;C0151827;C0020039;C0005741;C0043352;C0002871;C0039971;C0340865;C0027796;C0017160;C0008031;C2364111;C0151603;C0017565;C0240322;C0085606;C0009319;C0427008;C0080274;C0021843;C0042514;C0085632;C0233795;C0022951;C0025874;C0011124;C0151838;C0028738;C0034634;C0027497;C0033860;C0039070;C0013595;C0002170;C0009763;C0018965;C0025323;C0003123;C0013295;C0030554;C0025209;C0022650;C2979982;C0022893;C0020580;C0025320;C0520966;C0006444;C0234518;C0017574;C0151883;C0162830;C0010520;C3665386;C0152198;C0085593;C0034150;C0016204;C0151315;C0020453;C2830004;C0162429;C0233414;C0232461;C0013604;C0021053;C0028084;C0012833;C0004134;C0015469;C0015402;C0947912;C0042267;C0031039;C0085628;C0004093;C0042571;C0032227;C0004096;C1510410;C0011849;C0013428;C0424230;C0034065;C0023518;C0006277;C0221100;C0020443;C0349506;C0015397;C0575081;C0022408;C0023533;C0017178;C0151547;C0017675;C0010692;C0231218;C0043096;C0018099;C0020538;C0011616;C0014724;C0151610;C0009806;C0085636;C0085631;C0085633;C0022107;C0007971;C0037672;C0151717;C0151596;C0027765;C0020578;C0038367;C0023067;C0038363;C0038362;C0035305;C0151908;C0027769;C0149745;C0027066;C0014335;C0151905;C0151904;C0267792;C0020676;C0151888;C0038999;C0017601;C0032285;C0151766;C0013395;C0151907;C0042109;C0013390;C0085649;C0040264;C0040822;C0037384;C0030252;C0011570;C0085641;C0232849;C0011168;C0013491;C0041976;C0442874;C0015230;C0006145;C0006384;C0026826;C0424295;C0149931;C0231528;C0278080;C3665347;C0026827;C0024282;C0013362;C0041105;C0151889;C0002994;C0085610;C0002622;C0851354;C0235567;C0039231;C0542313;C0917798;C0014848;C0014591;C0001925;C0235378;C0423791;C0029456;C0030920;C0235146;C0267596;C0001807;C0043094;C0000737;C0018021;C0178298;C0013404;C0020651;C0008350;C0002962;C0037822;C0020649;C0019521;C0040046;C0013378;C0011551;C0038990;C0003467;C0033975;C0024902;C0497156;C3257803;C0314719;C0011053;C0022638;C0392163;C0020456;C0039520;C0233632;C0086439;C0003862;C0018524;C0242350;C0003864;C0014457;C0025222;C0018681;C0006325
CLOUD006,100004011,C0344315;C0037036;C0015967;C0027051;C0011253;C0001416;C0009676;C0038325;C0038454;C0151786;C0020538;C0042023;C0033774;C0042109;C0043352;C0030446;C0022346;C0003811;C0085631;C0392156;C0151773;C0080274;C0233794;C0011124;C0027497;C0039070;C0011206;C0234133;C0206061;C0016382;C0023530;C0151611;C0520966;C0002170;C0028643;C0162830;C0344232;C0034150;C2830004;C0011334;C0020458;C0009450;C0013604;C0028084;C0012833;C0004134;C0005940;C0042514;C0042510;C0015672;C0014130;C0004093;C0011991;C0040264;C0036572;C0002390;C0020565;C0233407;C0015397;C0087169;C0040822;C0017178;C0854382;C0031117;C0042075;C0043096;C0043094;C0015230;C0011615;C0009806;C0030554;C0006266;C0013384;C0235347;C0267792;C0038362;C0027769;C0086132;C0042373;C0027765;C2242996;C0018794;C0001824;C0025061;C0235290;C0018799;C0262988;C0018418;C0039231;C0151766;C0851341;C0039239;C0031256;C0241934;C0030252;C0011168;C0027066;C0006145;C0006384;C0233754;C0424295;C0232461;C0338831;C0013144;C0000729;C0264886;C0013362;C1320835;C0014742;C2584688;C0235660;C0851353;C0014518;C0851354;C0600142;C0027424;C1290864;C2225524;C0040034;C0019158;C0037317;C0001807;C0000737;C0178298;C0020651;C0851578;C0020649;C0917801;C0429097;C0013378;C0011551;C0042963;C0003467;C0033975;C0162429;C0021141;C0042035;C0497247;C0018524;C0242350;C0700590;C0026961;C0014457;C0018681;C0221490;C0040479
CLOUD007,100003780,C0025637;C0428977;C0011606;C0015230;C0002965;C0027497;C0520540;C0039070;C1328539;C0042963;C0012833;C0085649;C0002878;C0020649;C0857353;C0016382;C0220870;C0018681
CLOUD008,100002232,C0007820;C0038454;C0015230;C0004604;C0009806;C0018944;C0032285;C0003507;C0027051;C0018965;C0015967;C0003578;C0018801;C0010200;C0018926;C0020517;C0002965;C0232459;C0009676;C0042029;C0151942;C0009450;C0042373;C0040053;C0034063;C0012833;C0022660;C0018790;C0235818;C0042401;C0000737;C3160769;C0002962;C0039231;C0235490;C0151661;C0035229;C0008031;C0243026;C0042514;C0011991;C0151746;C0017168;C0042963;C0034065;C0019080;C0017181;C0013404;C0030193;C0151744;C0010072;C0151699;C0012739;C0019079;C0027497;C0040046;C3160770;C0151705;C0428977;C0017178;C0004238;C0151814;C0032227;C0020649;C0018681
CLOUD009,100004991,C2939427;C0015230;C0344315;C0085631;C1504494;C0035232;C1262144;C0427008;C0235567;C0037036;C0023380;C0007859;C0002418;C0020517;C0014591;C0149514;C0151908;C0009676;C0520559;C0497247;C0016204;C0042023;C0151827;C0000737;C0042109;C0018790;C0015732;C0042571;C0349398;C0393947;C0031133;C1291077;C0423153;C0232693;C0004093;C0026205;C0233763;C0011991;C0013390;C0042963;C0013144;C0036572;C0231530;C0004096;C0034063;C0241137;C0232292;C0027497;C0040046;C0231528;C0026826;C0002170;C0041657;C0026821;C0549428;C0428977;C0015644;C0700590;C0042024;C0020649;C0000729;C0020580;C0018681
CLOUD010,19861,
