Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD002,CLOUD001,Batch1,1315052,L17,0.2708292350264258,0.2966125034425777,0.10309372991829611,0.4871104010623772,-0.38401667114408106
CLOUD003,CLOUD001,Batch1,1315014,G08,0.30842437039077075,0.2966125034425777,0,0.5135543492090411,-0.5135543492090411
CLOUD003,CLOUD002,Batch1,1315024,K11,0.30842437039077075,0.2708292350264258,0.023225924905902834,0.49572326912075715,-0.47249734421485434
CLOUD004,CLOUD001,Batch1,1315049,H09,0.15465589522323198,0.2966125034425777,0,0.40539552641149385,-0.40539552641149385
CLOUD004,CLOUD002,Batch1,1315032,N01,0.15465589522323198,0.2708292350264258,0.48958046451849807,0.3835997924540228,0.10598067206447526
CLOUD004,CLOUD003,Batch2,1315068,L05,0,0.03924587418631666,0.013451097966129272,0.03924587418631666,-0.025794776220187384
CLOUD005,CLOUD001,Batch1,1315034,B08,0.048701000642614484,0.2966125034425777,0.2665014229321582,0.3308681783644278,-0.06436675543226955
CLOUD005,CLOUD002,Batch2,1315074,I23,0.007941009642654713,0,0.23871647354347306,0.007941009642654713,0.23077546390081835
CLOUD005,CLOUD003,Batch1,1315063,I13,0.048701000642614484,0.30842437039077075,0.0727990452584228,0.3421047955727864,-0.2693057503143636
CLOUD005,CLOUD004,Batch1,1315008,K04,0.048701000642614484,0.15465589522323198,0.1508308087762783,0.19582499901319572,-0.04499419023691742
CLOUD006,CLOUD001,Batch1,1315023,I02,0.1878139303091107,0.2966125034425777,0.30046819058110713,0.4287184737013133,-0.12825028312020614
CLOUD006,CLOUD002,Batch2,1315113,E22,0.04795667558004488,0,0.27761121465035254,0.04795667558004488,0.22965453907030767
CLOUD006,CLOUD003,Batch2,1315067,P04,0.04795667558004488,0.03924587418631666,0.4846446803338466,0.08532044811015309,0.3993242322236935
CLOUD006,CLOUD004,Batch2,1315093,E04,0.04795667558004488,0,0.05963860303054868,0.04795667558004488,0.011681927450503803
CLOUD006,CLOUD005,Batch1,1315009,C22,0.1878139303091107,0.048701000642614484,0.22610851005232716,0.22736820461104923,-0.0012596945587220743
CLOUD007,CLOUD001,Batch1,1315045,B18,0.10912643768606309,0.2966125034425777,0.20407601211787382,0.3733706752548072,-0.1692946631369334
CLOUD007,CLOUD002,Batch2,1315114,C04,0.027145288064176504,0,0,0.027145288064176504,-0.027145288064176504
CLOUD007,CLOUD003,Batch2,1315068,D01,0.027145288064176504,0.03924587418631666,0,0.06532582169037517,-0.06532582169037517
CLOUD007,CLOUD004,Batch1,1315032,M22,0.10912643768606309,0.15465589522323198,0.6208574313779491,0.24690528599643477,0.37395214538151433
CLOUD007,CLOUD005,Batch2,1315089,O07,0.027145288064176504,0.007941009642654713,0.12243740377603121,0.034870736712560954,0.08756666706347026
CLOUD007,CLOUD006,Batch2,1315072,B08,0.027145288064176504,0.04795667558004488,0.14188477432947097,0.0738001658710008,0.06808460845847017
CLOUD008,CLOUD001,Batch2,1315084,L19,0.032358263781973415,0.027428895551414093,0.07462928449882515,0.05889960789588665,0.015729676602938503
CLOUD008,CLOUD002,Batch1,1315045,L18,0.13561789353582246,0.2708292350264258,0.24905902873404936,0.3697178382000462,-0.12065880946599686
