CLOUD,Name,EntrezIDs,Symbols
CLOUD001,Desoxycorticosterone Pivalate,4306,NR3C2
CLOUD002,Aliskiren,5972,REN
CLOUD003,Chloroquine,2939;7124;54106,GSTA2;TNF;TLR9
CLOUD004,Dexmedetomidine,150,ADRA2A
CLOUD005,Zaleplon,2554;706,GABRA1;TSPO
CLOUD006,Maprotiline,6530;3269;1128;1129;1131;1132;1133;148;3356;3358;3363;1813;150,SLC6A2;HRH1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;ADRA1A;HTR2A;HTR2C;HTR7;DRD2;ADRA2A
CLOUD007,Isosorbide Dinitrate,4881,NPR1
CLOUD008,Argatroban,2147,F2
CLOUD009,Pyridostigmine,43;43;590;213,ACHE;ACHE;BCHE;ALB
CLOUD010,Azatadine,3269,HRH1
CLOUD011,Pramipexole,1814;1813;1815;151;3350;3352;150;3351;3356;3357;3358;152;1812;1816,DRD3;DRD2;DRD4;ADRA2B;HTR1A;HTR1D;ADRA2A;HTR1B;HTR2A;HTR2B;HTR2C;ADRA2C;DRD1;DRD5
CLOUD012,Carbachol,1128;1129;1135;43;1131;1132,CHRM1;CHRM2;CHRNA2;ACHE;CHRM3;CHRM4
CLOUD013,Asenapine,1813;3356;3350;3351;3357;3358;3361;3362;3363;150;151;152;148;1812;1814;1815;3269;3274;153;154,DRD2;HTR2A;HTR1A;HTR1B;HTR2B;HTR2C;HTR5A;HTR6;HTR7;ADRA2A;ADRA2B;ADRA2C;ADRA1A;DRD1;DRD3;DRD4;HRH1;HRH2;ADRB1;ADRB2
CLOUD014,Ticalopride,3360;3359,HTR4;HTR3A
CLOUD015,Amodiaquine,3176,HNMT
CLOUD016,Rosiglitazone,5468;2182;5465;5467;6256;6257;6258,PPARG;ACSL4;PPARA;PPARD;RXRA;RXRB;RXRG
CLOUD017,Amiloride,6337;6338;6340;6339;26;40;41;6548;5328,SCNN1A;SCNN1B;SCNN1G;SCNN1D;AOC1;ASIC2;ASIC1;SLC9A1;PLAU
CLOUD018,Hydroxychloroquine,51284;54106,TLR7;TLR9
CLOUD019,Clopidogrel,64805,P2RY12
CLOUD020,Tranylcypromine,4128;4129,MAOA;MAOB
CLOUD021,Oseltamivir,1066;4758;4759,CES1;NEU1;NEU2
CLOUD022,Oxyphenonium,1128,CHRM1
