Drug,Batch1_Mahalanobis_Distance,Batch1_MP_Value,Batch2_Mahalanobis_Distance,Batch2_MP_Value
CLOUD001,4.885696693532554,0.0231,3.5392981788755637,0.0314
CLOUD002,2.9638829399767643,0.059,2.640493369980808,0.0529
CLOUD003,2.4048256162166863,0.3764,2.822325790536054,0.0455
CLOUD004,2.4833034367626063,0.3175,2.4192538047088754,0.0709
CLOUD005,2.4310067980593524,0.521,3.375570345010831,0.0339
CLOUD006,3.3858125846444116,0.048,6.406497747482708,0.0003
CLOUD007,2.184809408383981,0.7297,2.6248836125353945,0.0715
CLOUD008,3.613026261516688,0.0169,2.7452234019082353,0.048
CLOUD009,2.834088448831564,0.0785,2.4898148959978013,0.0638
CLOUD010,2.4170559945394396,0.3685,2.534422231096131,0.0603
CLOUD011,2.7942138578637867,0.0875,2.6490337175475034,0.0526
CLOUD012,2.88260344421364,0.2261,2.822306834089648,0.0455
CLOUD013,2.5559149544713593,0.1605,2.4685917114029765,0.0659
CLOUD014,2.4741585203986025,0.4838,2.9243542935747993,0.0461
CLOUD015,2.0832496775738583,0.5244,2.9664165475209123,0.0422
CLOUD016,2.025374124667266,0.5864,3.1316746211899176,0.0384
CLOUD017,5.517006854603919,0.0009,3.78163770743017,0.0267
CLOUD018,3.3811822882968894,0.0843,2.8986237666962493,0.0438
CLOUD019,3.0995164474539845,0.0824,2.5902007876181647,0.0553
CLOUD020,2.266463771911112,0.491,3.5477812859369386,0.0308
CLOUD021,2.3122970586995293,0.6205,1.770256582226518,0.3538
CLOUD022,2.1960571832089113,0.4099,2.439804530591647,0.069
CLOUD023,4.230753929568117,0.0122,4.0360248589328345,0.0221
CLOUD024,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells
CLOUD025,1.965141161411497,0.6529,3.6712727833231544,0.029
CLOUD026,2.8358134886144706,0.2498,2.6665714922495476,0.0516
CLOUD027,9.285045510513852,0.0,10.446781011526754,0.0
CLOUD028,2.2226708809941886,0.5298,2.242421251259841,0.2851
CLOUD029,2.4917084696479126,0.3133,3.0390893920602533,0.0406
CLOUD030,3.9345156802185217,0.0186,3.6285994006215856,0.0297
CLOUD031,7.337501144543913,0.0,16.54152648493228,0.0
CLOUD032,4.278655756660638,0.0116,3.301906984183631,0.035
CLOUD033,2.4324579690259616,0.3557,2.465843018498098,0.0665
CLOUD034,2.5880505619358627,0.1483,2.7631030372329444,0.0557
CLOUD035,2.164115650439498,0.7464,2.0581785664048646,0.1552
CLOUD036,2.239825518802556,0.5158,3.2370053172312425,0.0368
CLOUD037,2.810358645213057,0.1534,4.305510416297664,0.0194
CLOUD038,3.732522212363972,0.0247,3.3742978815188343,0.0339
CLOUD039,3.8041408464026443,0.0127,2.491313600199088,0.0921
CLOUD040,6.529311822227241,0.0001,2.796323854836144,0.0887
CLOUD041,2.3119095305163997,0.4506,2.948813152194849,0.0426
CLOUD042,1.9645658540823376,0.6539,2.4226018931933613,0.0706
CLOUD043,3.217094915907218,0.229,2.708725214159696,0.0498
CLOUD044,6.200077754073958,0.0001,4.518975364806336,0.0172
CLOUD045,4.283048153395772,0.0193,3.5413188991349216,0.031
CLOUD046,2.7485964880502975,0.1765,8.46425477878832,0.0001
CLOUD047,7.665193121841214,0.0015,9.958764591021007,0.0
CLOUD048,3.0640203276019617,0.0891,3.0161700968161735,0.0415
CLOUD049,3.581893221195687,0.034,2.071722969380197,0.1492
CLOUD050,2.6937438425747424,0.3288,2.4505707940349635,0.0999
CLOUD051,3.3154890728386532,0.0551,3.144389383234983,0.0379
CLOUD052,2.507779206742337,0.4572,3.8216373147779064,0.0258
CLOUD053,11.140387161063929,0.0,16.71700833717189,0.0
CLOUD054,3.1776866163922106,0.128,4.376762340441442,0.0184
CLOUD055,3.0687617415264414,0.161,3.4528145541101,0.0328
CLOUD056,3.618917513549095,0.0314,2.5652210938280393,0.0573
CLOUD057,12.213029062333872,0.0,17.949603639959136,0.0
CLOUD058,3.1334483904443204,0.2638,2.3125216945401874,0.0844
CLOUD059,2.35529962660383,0.2794,2.357963850594838,0.0775
CLOUD060,1.950944968042428,0.7867,3.3481743551295002,0.0345
CLOUD061,2.756700357765971,0.2913,2.4926609390295713,0.0632
CLOUD062,2.1578312324058224,0.5966,2.999876821579818,0.0416
CLOUD063,9.474913232119343,0.0,16.352582700221575,0.0
CLOUD064,2.610752120138585,0.2378,2.6340012042911094,0.0695
CLOUD065,LessThanThreeWells,LessThanThreeWells,3.3258691593491605,0.0347
CLOUD066,3.5936167645144668,0.0563,2.594208714660725,0.0552
CLOUD067,3.3066270860886573,0.056,2.987095523106721,0.0418
CLOUD068,2.900536895861166,0.2193,2.401961948787999,0.0731
CLOUD069,2.6311378237196705,0.1333,3.402992394309834,0.0337
CLOUD070,2.3486325498402767,0.2836,2.955576988680904,0.0425
CLOUD071,3.0786206897684227,0.0862,2.879937433374319,0.0445
CLOUD072,3.7542204302856517,0.0132,5.834911494393832,0.015
CLOUD073,3.270976910092652,0.0595,4.218744394294396,0.0201
CLOUD074,2.321041700182414,0.7929,2.4520507965862124,0.1778
CLOUD075,2.5026094296041723,0.1868,3.1436367536136434,0.039
CLOUD076,1.9871744208807378,0.7553,2.480455371112834,0.0645
CLOUD077,12.097999906569973,0.0,17.925072455942466,0.0
CLOUD078,2.440487800569927,0.5131,3.203972817695536,0.0369
CLOUD079,2.4882453804878275,0.3151,3.459243720450118,0.0331
CLOUD080,6.186270285951271,0.0,LessThanThreeWells,LessThanThreeWells
CLOUD081,3.2933567281416094,0.0571,4.736463374660351,0.0166
CLOUD082,3.1157542282424697,0.0793,4.75661065554021,0.0159
CLOUD083,LessThanThreeWells,LessThanThreeWells,5.698856725371702,0.0116
CLOUD084,2.242554959536701,0.3692,2.920346048223725,0.0463
CLOUD085,3.500720003085724,0.294,3.485452381291283,0.0399
CLOUD086,6.133721919270028,0.0001,3.9914420901862755,0.0227
CLOUD087,5.89202786787696,0.0032,3.692223945898504,0.0294
CLOUD088,5.902863852609343,0.0,3.6321110387730635,0.0297
CLOUD089,9.231856641390257,0.0,17.47079522868084,0.0
CLOUD090,2.233886960509988,0.5207,2.4752135267348194,0.065
CLOUD091,2.2533639958945724,0.5035,2.4978287272567754,0.0628
CLOUD092,2.1936244605228397,0.5593,1.9927707517271418,0.2952
CLOUD093,2.215854265949008,0.3927,1.7408936661830825,0.3786
CLOUD094,2.962535971580051,0.1088,2.1622437170728697,0.1177
CLOUD095,3.7828593408965023,0.0131,2.8937585499317366,0.0439
CLOUD096,4.197417524351104,0.0129,3.8516822304989558,0.0252
CLOUD097,2.316738868050885,0.3074,2.5241596191171882,0.061
CLOUD098,2.2495834663138634,0.5063,3.109898838981847,0.0396
CLOUD099,2.0693725194469046,0.5388,2.2844859783618485,0.0905
CLOUD100,2.1201768471854905,0.4844,6.063194707574422,0.001
CLOUD101,2.598057198520997,0.1449,7.338026971694567,0.0
CLOUD102,2.9651151731797647,0.1078,8.335336322029804,0.0023
CLOUD103,10.695350898172043,0.0,16.74349834279324,0.0
CLOUD104,13.344726192823776,0.0,13.061954508107583,0.0
CLOUD105,4.069301391175161,0.0273,3.9114103339369017,0.0267
CLOUD106,4.802181721987932,0.0254,3.7996144785152444,0.033
CLOUD107,2.827653401366081,0.1468,2.5928017494037703,0.0553
CLOUD108,2.4574349996042746,0.4979,3.138764349209339,0.039
CLOUD109,2.2379166335940637,0.3726,3.600648452286665,0.0301
CLOUD110,2.347377263998531,0.5925,2.8229386840293533,0.0517
CLOUD111,1.962292347480396,0.6566,2.475080066095893,0.065
CLOUD112,10.95280884444572,0.0,18.37538233940767,0.0
CLOUD113,2.1923743879434556,0.7236,2.696617676050352,0.0625
CLOUD114,4.0622076641283975,0.0156,6.841067600721479,0.0002
CLOUD115,14.787419011577018,0.0,17.248539756395267,0.0
CLOUD116,2.139507790846609,0.6143,2.4333321341630945,0.0695
CLOUD117,11.89147391252942,0.0,16.605844984937995,0.0
CLOUD118,2.5059880826714793,0.3031,2.129031224210432,0.1279
CLOUD119,2.6430529120968935,0.1301,2.2784339066174195,0.0913
CLOUD120,LessThanThreeWells,LessThanThreeWells,2.9994118587326395,0.0432
CLOUD121,2.3413065044512154,0.2887,2.831946397716658,0.0453
CLOUD122,2.4067352890591667,0.3753,3.007091201251954,0.0416
CLOUD123,2.4006580849781245,0.5453,2.48370453674322,0.0642
CLOUD124,2.3677995262659626,0.4056,2.246313996425187,0.1575
CLOUD125,2.2120359838042476,0.5406,2.3340685989973733,0.0812
CLOUD126,2.288509365314628,0.6417,3.3669814402040426,0.0341
CLOUD127,3.4039489125660864,0.0807,3.5499838803504438,0.0308
CLOUD128,2.5635141237850974,0.268,2.2241113160617054,0.1031
CLOUD129,13.256617477080542,0.0,17.10830389505952,0.0
CLOUD130,2.0597459478238007,0.6911,2.87498536119756,0.0481
CLOUD131,2.9022911714125965,0.2188,5.4637977787926575,0.0129
CLOUD132,2.618772343440824,0.1378,3.852637581973172,0.0251
CLOUD133,2.6708210528308878,0.2085,2.892198565318838,0.0762
CLOUD134,2.618329415232226,0.2339,3.1150809245686,0.039
CLOUD135,3.4624520022840257,0.0715,3.273679516015045,0.0358
CLOUD136,5.031846479751784,0.0093,4.632204090896434,0.0164
CLOUD137,5.339492399903251,0.0016,4.497357444355253,0.0186
CLOUD138,4.437285423358689,0.0041,3.3421999964060523,0.0345
CLOUD139,LessThanThreeWells,LessThanThreeWells,2.2577073734519315,0.153
CLOUD140,2.4839392948117514,0.1961,2.83246382214849,0.0453
CLOUD141,4.866117009816577,0.0048,8.490728638616888,0.0
CLOUD142,4.389758898812657,0.0046,6.634717849748218,0.0002
CLOUD143,13.776243637825592,0.0,15.365819688704404,0.0
CLOUD144,4.349831090709924,0.0108,3.854821979568704,0.0249
CLOUD145,3.593021298211119,0.0332,2.6727440714765307,0.0515
CLOUD146,3.8070157566814737,0.0126,2.4686813205755276,0.0659
CLOUD147,3.298049028954029,0.1008,2.3858580982137725,0.0742
CLOUD148,1.7647531681575666,0.9652,1.7957911455245388,0.3317
CLOUD149,2.7319706896018765,0.1015,3.0800905765146744,0.0404
CLOUD150,2.92475015058585,0.2091,2.6757234080484555,0.0512
CLOUD151,3.1491654814012304,0.1349,3.635851334120487,0.0297
CLOUD152,11.431934630185461,0.0,LessThanThreeWells,LessThanThreeWells
CLOUD153,3.329671137582366,0.0533,4.5832953762901285,0.0179
CLOUD154,2.3751559188850258,0.5685,2.090700922559107,0.1416
CLOUD155,2.1483719018285465,0.4534,2.8959882592888255,0.0469
CLOUD156,7.284095564327888,0.0,4.85185207225404,0.0155
CLOUD157,2.2571852556025713,0.4997,2.472936155873713,0.0653
CLOUD158,2.135640312472283,0.4668,3.119874012331445,0.0389
CLOUD159,1.7799823099454015,0.8321,2.1012756219634845,0.1383
CLOUD160,4.192713824915669,0.0129,2.423163812979924,0.0704
CLOUD161,6.640873185686133,0.0053,3.668740667611449,0.029
CLOUD162,2.138772933405949,0.7652,2.600384485438175,0.0755
CLOUD163,2.5878242809376415,0.2513,3.160109151465289,0.0384
CLOUD164,3.506344792253769,0.0378,2.123932559764668,0.13
CLOUD165,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells
CLOUD166,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells,LessThanThreeWells
CLOUD167,2.322338017755889,0.3019,3.9737609328110395,0.023
