Drug,NumberInteractions,NumberIncreasing,NumberDecreasing,NumberEmergent,Filtered,All,Filtered_MsigD_BP,Filtered_MsigD_MF,Filtered_Msig_ChemGen_Perturbation,Filtered_MsigD_CC,Filtered_MsigD_KeGG,All_MsigD_BP,All_MsigD_MF,All_Msig_ChemGen_Perturbation,All_MsigD_CC,All_MsigD_KeGG,Filtered_AvgDegree,All_AvgDegree,Filtered_AvgClustering,All_AvgClustering,Filtered_Disease,All_Disease,KeGG_Indirect,KeGG_Direct,SideEffects_TwoSide_CLOUDs.gml,SideEffects_CLOUD_to_Offsides,SideEffects_Drugbank_2018-07-03_CLOUD_Only.gml,SideEffects_CLOUD_to_SIDER,ATC_SecondLevel,ATC_FirstLevel,Enzymes,Transporters,Carriers
CLOUD001,2,1,1,0,3,3,71,30,152,11,5,71,30,152,11,5,221.33333333333334,221.33333333333334,0.105846961973,0.105846961973,220,220,5,0,0,0,28,0,0,0,0,0,0
CLOUD002,7,3,4,0,1,2,70,5,15,3,1,106,18,39,6,7,10.0,11.5,0.0222222222222,0.0623931623932,88,106,10,1,13,252,59,84,1,1,1,0,0
CLOUD003,7,4,3,0,6,18,557,30,93,32,23,771,82,326,45,33,28.166666666666668,24.555555555555557,0.362621328225,0.280157157455,344,461,75,0,5,388,107,61,1,1,12,1,0
CLOUD004,5,1,4,0,3,10,209,19,54,15,3,349,35,182,24,11,12.333333333333334,16.3,0.0911920323685,0.239196448171,32,202,20,1,3,90,68,126,1,1,7,0,0
CLOUD005,3,2,1,0,6,10,225,22,101,38,1,268,42,189,41,11,10.5,9.6,0.103246753247,0.0722044622045,116,146,23,2,35,424,51,246,1,1,4,0,0
CLOUD006,8,3,5,0,35,43,1517,162,680,127,46,1599,203,749,137,55,137.65714285714284,114.53488372093024,0.0793902881993,0.0996719817274,757,795,135,0,0,229,61,146,1,1,4,3,1
CLOUD007,5,1,4,0,2,4,95,21,78,3,4,152,33,140,12,11,9.0,12.0,0.140079365079,0.0975189434748,48,120,24,0,53,265,43,18,2,1,2,0,0
CLOUD008,9,5,4,0,1,5,207,14,5,5,1,343,32,67,15,9,16.0,21.8,0.0666666666667,0.0629332596774,52,184,15,0,0,180,39,65,1,1,4,0,0
CLOUD009,3,0,3,0,1,8,2,6,43,17,0,222,46,180,49,9,138.0,53.75,0.0842060721464,0.157037085059,8,313,15,2,12,338,15,63,1,1,7,1,1
CLOUD010,5,1,4,0,3,4,451,51,95,27,6,492,61,118,30,12,72.33333333333333,57.5,0.0578773811982,0.0690490615397,141,154,19,0,0,0,2,0,1,1,1,0,0
CLOUD011,3,2,1,0,15,17,726,50,154,59,3,746,64,175,59,3,16.866666666666667,15.529411764705882,0.114731891073,0.104501995391,131,144,17,3,64,632,57,607,1,1,0,2,2
CLOUD012,4,3,1,0,12,14,446,80,267,47,28,585,96,339,69,35,159.33333333333334,140.5,0.0913482145287,0.0880143634583,217,316,94,2,0,0,7,22,2,2,2,0,0
CLOUD013,4,3,1,0,20,24,863,47,217,69,6,936,70,261,70,17,32.94736842105263,29.454545454545453,0.0646593787382,0.0998981347844,220,298,37,3,0,0,107,109,1,1,4,0,0
CLOUD014,5,1,4,0,2,2,28,29,28,22,2,28,29,28,22,2,52.0,52.0,0.00742432895488,0.00742432895488,35,35,5,0,0,0,0,0,0,0,0,0,0
CLOUD015,5,2,3,0,2,11,296,40,68,40,3,511,73,307,56,11,66.0,23.09090909090909,0.107609406214,0.159729407875,72,248,28,1,0,0,34,0,1,1,8,1,0
CLOUD016,6,3,3,0,12,24,621,102,366,38,14,736,146,529,65,26,51.25,37.708333333333336,0.0820037996425,0.161674580337,302,470,60,2,84,277,64,68,1,1,11,3,2
CLOUD017,2,2,0,0,12,19,560,80,326,81,29,656,120,434,100,39,100.41666666666667,65.21052631578948,0.144165683538,0.129564959695,405,470,85,1,17,299,42,73,1,1,5,4,2
CLOUD018,1,1,0,0,4,5,262,21,34,41,5,287,31,52,42,6,14.5,12.2,0.163513071895,0.26414379085,84,123,21,0,62,460,17,114,1,1,1,0,0
CLOUD019,6,2,3,1,1,12,84,6,2,12,0,271,65,206,28,9,60.0,13.0,0.0158192090395,0.243142378981,21,250,16,0,102,518,55,210,1,1,12,2,1
CLOUD020,11,5,6,0,3,13,227,43,64,11,4,342,61,265,31,17,158.33333333333334,42.23076923076923,0.0626041263972,0.225240950257,45,246,28,9,6,126,116,68,1,1,10,0,0
CLOUD021,7,1,6,0,3,7,55,2,61,11,3,98,35,168,26,5,13.333333333333334,17.857142857142858,0.0713064713065,0.0497509260114,99,131,8,1,25,368,1,108,1,1,2,3,0
CLOUD022,4,2,2,0,1,1,49,15,8,19,3,49,15,8,19,3,6.0,6.0,0.133333333333,0.133333333333,20,20,6,0,0,0,10,0,1,1,0,0,0
CLOUD023,2,1,1,0,35,52,1298,133,684,141,34,1500,197,862,156,48,67.3030303030303,56.38,0.0748386375546,0.109756116343,562,781,101,3,0,275,29,21,1,1,11,10,4
CLOUD024,0,0,0,0,69,79,1388,157,1209,113,56,1475,176,1260,121,65,156.3235294117647,138.3846153846154,0.165831393916,0.175875811127,759,859,137,1,41,1408,135,573,1,1,14,0,0
CLOUD025,3,0,3,0,29,37,1382,170,677,147,67,1476,210,787,150,82,111.82758620689656,92.41666666666667,0.0743106326663,0.123521423704,713,782,172,0,0,242,72,107,1,1,7,2,1
CLOUD026,6,4,2,0,2,5,199,40,44,34,4,288,79,114,42,10,62.5,39.4,0.0438067382688,0.0809267941955,75,122,19,0,0,130,14,243,1,1,2,2,1
CLOUD027,14,7,6,1,3,7,72,30,162,10,5,218,51,237,29,12,235.0,136.57142857142858,0.0777089699337,0.0857288403036,204,321,18,3,0,0,27,0,1,1,2,1,2
CLOUD028,5,1,3,1,2,5,337,24,35,29,5,367,48,67,35,6,28.0,28.25,0.0483431297385,0.0363612811813,90,149,24,4,68,426,53,50,1,1,1,4,1
CLOUD029,5,0,5,0,12,13,538,59,119,79,4,562,69,134,80,5,19.0,17.76923076923077,0.0318956120205,0.0807241546856,259,281,21,2,0,92,0,0,0,0,1,0,0
CLOUD030,3,1,2,0,0,2,0,0,0,0,0,58,12,99,6,7,nan,5.5,nan,0.0714285714286,0,98,12,0,0,0,51,0,1,1,2,0,0
CLOUD031,12,1,10,1,14,33,958,120,450,76,39,1174,184,861,105,53,230.14285714285714,113.78787878787878,0.106606911512,0.0936178779842,610,776,110,2,36,910,42,143,1,1,14,7,1
CLOUD032,5,1,4,0,12,17,785,106,154,71,12,829,124,204,79,18,45.0,33.0,0.211032857279,0.240467637818,248,301,39,0,39,316,18,382,1,1,3,2,2
CLOUD033,5,2,3,0,1,16,5,6,31,27,0,361,87,286,51,10,14.0,15.3125,0.021978021978,0.202031649157,43,326,22,0,20,304,141,403,1,1,14,4,1
CLOUD034,5,1,4,0,0,2,0,0,0,0,0,58,12,99,6,7,nan,5.5,nan,0.0714285714286,0,98,12,0,0,0,47,0,1,1,2,0,0
CLOUD035,3,0,3,0,8,10,135,36,130,50,6,191,52,161,57,11,11.333333333333334,15.0,0.0337308524809,0.061949242926,115,154,29,0,0,0,34,22,1,1,0,2,0
CLOUD036,3,1,2,0,0,7,0,0,0,0,0,159,32,189,9,10,nan,10.0,nan,0.320045710592,0,200,15,0,0,0,34,24,1,1,8,0,0
CLOUD037,7,4,3,0,27,44,1053,128,706,114,42,1240,198,935,149,59,171.26923076923077,113.16279069767442,0.0649503946963,0.11495433341,431,646,124,1,102,796,112,367,1,1,17,7,2
CLOUD038,3,0,3,0,5,8,274,45,70,52,2,362,70,112,55,12,28.0,22.285714285714285,0.104508302293,0.184538897242,113,186,20,2,13,243,4,222,2,2,3,1,0
CLOUD039,2,1,1,0,1,3,19,19,5,14,1,57,37,70,16,2,2.0,8.0,0.0,0.0245614035088,27,116,6,0,15,344,18,40,1,1,1,2,2
CLOUD040,6,1,5,0,5,11,152,54,88,34,3,266,71,207,41,11,39.4,22.0,0.102120854721,0.258073581983,226,325,19,1,27,553,43,37,2,2,6,0,0
CLOUD041,5,2,3,0,4,14,383,55,200,35,8,539,82,380,40,18,321.5,101.5,0.0694130810484,0.207528330208,284,391,42,0,19,347,20,225,1,1,10,0,0
CLOUD042,5,1,3,1,6,7,84,22,62,35,3,112,32,79,36,4,24.333333333333332,21.285714285714285,0.0408961727927,0.130291957632,141,177,14,0,24,357,10,36,1,1,1,0,0
CLOUD043,4,0,4,0,9,13,755,84,324,56,21,860,102,407,60,27,226.44444444444446,163.30769230769232,0.0772892632185,0.0713316438098,471,489,59,3,21,502,34,192,1,1,3,0,1
CLOUD044,7,2,5,0,38,60,1021,128,439,116,27,1202,197,702,134,39,63.25714285714286,46.666666666666664,0.0523917011542,0.102564371524,545,732,108,0,38,775,114,144,1,1,15,12,6
CLOUD045,6,2,4,0,20,21,680,55,322,55,13,716,68,340,55,19,16.77777777777778,15.736842105263158,0.128926304211,0.17851300903,434,456,59,2,0,130,2,89,1,1,2,0,0
CLOUD046,8,2,3,3,11,13,491,81,307,38,32,587,103,359,40,35,156.36363636363637,137.46153846153845,0.128281166895,0.143797089622,430,462,92,0,4,140,4,68,1,1,1,1,0
CLOUD047,4,0,4,0,12,31,612,80,167,51,10,808,146,511,64,27,31.0,22.6,0.0564958424105,0.132940413418,175,365,48,0,0,181,77,0,1,1,12,8,3
CLOUD048,4,1,2,1,11,12,789,90,337,62,11,818,99,355,62,12,118.45454545454545,109.33333333333333,0.0905998252183,0.0923090990427,372,389,26,0,0,0,0,0,1,1,1,0,0
CLOUD049,4,2,0,2,25,32,1078,124,469,86,33,1215,159,578,102,41,97.08333333333333,85.2258064516129,0.0830443181465,0.105417571574,655,755,97,5,0,0,121,0,1,1,6,4,2
CLOUD050,7,4,3,0,4,6,210,36,177,50,2,223,36,208,50,2,27.75,19.5,0.14937233716,0.0995815581064,192,220,10,0,0,0,70,45,2,2,1,1,0
CLOUD051,8,1,5,2,14,44,765,89,408,73,13,1078,180,756,100,39,211.92307692307693,77.92857142857143,0.0958401250943,0.144577819876,459,654,84,1,54,281,49,365,1,1,21,12,6
CLOUD052,5,1,2,2,18,24,968,132,569,106,37,1088,171,689,110,45,195.27777777777777,151.04166666666666,0.0799403923802,0.0914895855026,699,717,101,4,5,138,7,353,1,1,3,3,0
CLOUD053,13,0,12,1,24,54,1287,140,948,137,53,1654,211,1287,172,69,150.54166666666666,86.73584905660377,0.102047741064,0.121220641254,693,928,153,0,66,676,71,457,1,1,23,17,5
CLOUD054,2,1,1,0,32,34,1437,180,956,130,45,1479,195,990,133,53,143.71875,137.14705882352942,0.108678993349,0.112136294654,741,780,111,1,0,716,46,23,1,1,3,0,0
CLOUD055,4,1,3,0,2,5,55,19,20,20,3,122,37,88,25,9,31.5,16.0,0.072619047619,0.182893772894,74,129,20,3,0,349,30,373,1,1,3,0,0
CLOUD056,5,0,5,0,14,27,372,69,385,75,6,608,103,635,82,11,41.61538461538461,26.615384615384617,0.0572724589067,0.0612311301993,347,531,38,0,65,506,64,49,2,2,6,13,1
CLOUD057,16,2,10,4,12,24,719,114,479,65,32,867,154,704,79,42,291.5,153.70833333333334,0.100574277395,0.150212940543,439,497,88,0,45,970,17,202,1,1,10,3,1
CLOUD058,7,2,3,2,23,33,1154,148,477,146,41,1334,190,601,147,51,112.30434782608695,84.60606060606061,0.0770315637992,0.110537549791,675,734,126,1,74,231,43,42,1,1,6,5,2
CLOUD059,5,1,3,1,48,60,1758,228,1181,162,59,1845,248,1279,167,71,189.7826086956522,153.72413793103448,0.0884626189739,0.116763805934,883,949,168,4,23,361,66,129,1,1,11,3,1
CLOUD060,6,1,5,0,13,19,511,53,115,59,4,586,84,275,66,12,32.083333333333336,25.555555555555557,0.10437686253,0.110127289832,124,227,26,2,56,635,27,347,2,2,3,5,3
CLOUD061,4,2,2,0,3,8,51,18,48,19,0,153,53,166,34,8,33.0,22.375,0.0482585691281,0.0863645616991,8,123,14,0,0,344,55,112,1,1,5,2,1
CLOUD062,6,4,2,0,75,88,2188,285,1400,220,77,2257,312,1499,223,101,157.1917808219178,136.06976744186048,0.083379533838,0.0929048381934,1007,1035,202,3,3,240,24,31,2,2,12,2,1
CLOUD063,33,4,7,22,63,79,1809,268,1295,201,89,1967,325,1459,205,102,166.79365079365078,140.07792207792207,0.0950073734765,0.0918316169238,1157,1209,198,0,38,702,14,151,1,1,11,13,5
CLOUD064,3,0,2,1,64,93,1761,218,1063,180,73,1924,283,1315,192,91,148.640625,92.3913043478261,0.084769864828,0.104965271218,903,1033,182,2,50,1417,63,187,1,1,31,10,4
CLOUD065,0,0,0,0,2,8,3,6,11,0,0,112,48,151,30,7,37.0,23.0,0.0457211870255,0.0781071074685,8,63,13,1,0,0,68,51,1,1,4,3,0
CLOUD066,10,4,6,0,9,25,462,84,187,30,9,617,149,438,67,25,153.28571428571428,60.476190476190474,0.0509104192504,0.0687243626154,306,408,45,1,85,398,6,112,1,1,9,9,2
CLOUD067,4,2,1,1,3,14,181,34,36,28,3,304,63,177,42,11,41.0,16.071428571428573,0.0127468235918,0.224221646361,64,241,18,3,0,0,60,0,1,1,11,1,0
CLOUD068,2,0,2,0,39,48,974,121,418,106,13,1076,175,540,109,21,46.75675675675676,40.54347826086956,0.0756552075,0.0874724443978,462,536,66,3,85,298,101,607,1,1,8,6,3
CLOUD069,6,4,1,1,21,26,773,66,229,68,8,836,101,306,69,15,38.95238095238095,35.48,0.0931311819797,0.0889838290903,276,316,38,0,8,112,123,102,1,1,4,4,3
CLOUD070,3,2,1,0,4,8,198,51,158,33,5,322,85,261,38,10,314.5,114.0,0.05708977069,0.0656938331305,187,222,12,1,48,545,13,44,1,1,3,1,0
CLOUD071,9,3,6,0,269,280,2640,285,2131,283,86,2727,324,2170,291,95,89.35471698113207,86.6376811594203,0.112321068302,0.111218804992,1388,1461,203,3,30,517,50,304,1,1,6,6,1
CLOUD072,4,3,1,0,21,32,1252,132,641,84,44,1351,176,760,93,51,234.1904761904762,159.6875,0.102263023469,0.138629609489,750,792,112,1,91,411,53,46,1,1,9,4,3
CLOUD073,6,3,2,1,21,36,490,48,320,69,8,663,105,542,86,17,12.31578947368421,13.272727272727273,0.101905299255,0.126858769347,222,359,36,1,70,335,125,301,2,1,14,6,1
