Drug1,Drug2,D_Drug1,D_Drug2,D_D1_D2,S
CLOUD001,CLOUD001,1.0,1.0,0.0,-1.0
CLOUD001,CLOUD002,1.0,3.0,2.0,0.0
CLOUD001,CLOUD003,1.0,1.88888888889,2.28571428571,0.84126984127
CLOUD001,CLOUD004,1.0,1.6,2.30769230769,1.00769230769
CLOUD001,CLOUD005,1.0,1.7,2.15384615385,0.803846153846
CLOUD001,CLOUD006,1.0,1.6511627907,2.02173913043,0.696157735086
CLOUD001,CLOUD007,1.0,2.25,2.0,0.375
CLOUD001,CLOUD008,1.0,2.0,2.125,0.625
CLOUD001,CLOUD009,1.0,1.625,2.27272727273,0.960227272727
CLOUD001,CLOUD010,1.0,2.25,2.14285714286,0.517857142857
CLOUD001,CLOUD011,1.0,1.70588235294,2.4,1.04705882353
CLOUD001,CLOUD012,1.0,2.14285714286,2.05882352941,0.487394957983
CLOUD001,CLOUD013,1.0,1.77272727273,2.4,1.01363636364
CLOUD001,CLOUD014,1.0,3.0,2.4,0.4
CLOUD001,CLOUD015,1.0,2.27272727273,2.21428571429,0.577922077922
CLOUD001,CLOUD016,1.0,1.625,2.18518518519,0.872685185185
CLOUD001,CLOUD017,1.0,1.78947368421,2.22727272727,0.832535885167
CLOUD001,CLOUD018,1.0,2.2,2.25,0.65
CLOUD001,CLOUD019,1.0,1.91666666667,2.4,0.941666666667
CLOUD001,CLOUD020,1.0,1.38461538462,2.125,0.932692307692
CLOUD001,CLOUD021,1.0,2.71428571429,2.5,0.642857142857
CLOUD001,CLOUD023,1.0,1.6,2.22641509434,0.92641509434
CLOUD001,CLOUD024,1.0,1.19230769231,1.92592592593,0.829772079772
CLOUD001,CLOUD025,1.0,1.58333333333,2.07692307692,0.785256410256
CLOUD001,CLOUD026,1.0,2.2,2.125,0.525
CLOUD001,CLOUD027,1.0,1.42857142857,1.2,-0.0142857142857
CLOUD001,CLOUD028,1.0,2.0,2.14285714286,0.642857142857
CLOUD001,CLOUD029,1.0,2.38461538462,2.4375,0.745192307692
CLOUD001,CLOUD030,1.0,1.0,3.0,2.0
CLOUD001,CLOUD031,1.0,1.63636363636,1.97222222222,0.65404040404
