Drug,Batch1_Mahalanobis_Distance,Batch1_MP_Value,Batch2_Mahalanobis_Distance,Batch2_MP_Value
CLOUD001,4.898549088392992,0.0229,3.541448405268924,0.0314
CLOUD002,2.971288340347592,0.0584,2.6376749608622543,0.053
CLOUD003,2.4329753551028124,0.3555,2.8226519711570166,0.0455
CLOUD004,2.559568408741104,0.2698,2.419204620818004,0.0709
CLOUD005,2.4109734212669705,0.5371,3.3782909169351716,0.0339
CLOUD006,3.400578118016103,0.0463,6.405837907661215,0.0003
CLOUD007,2.1323578660251816,0.7722,2.6247842380767996,0.0716
CLOUD008,3.6090024787947104,0.0169,2.7446239375604375,0.0481
CLOUD009,2.841106161324259,0.077,2.49006713114467,0.0638
CLOUD010,2.4289057905652074,0.3583,2.535059547538908,0.0603
CLOUD011,2.7661759597450417,0.094,2.649726849599058,0.0526
CLOUD012,2.850124564217493,0.2426,2.819771241009682,0.0456
CLOUD013,2.543284189931446,0.1662,2.4662522971304357,0.0665
CLOUD014,2.4531295612014508,0.5019,2.923841191758782,0.0461
CLOUD015,2.1156223598772854,0.4889,2.966823146797839,0.0422
CLOUD016,2.042298272828906,0.5678,3.128296720905262,0.0386
CLOUD017,5.498645272692531,0.0009,3.7899600539709377,0.0265
CLOUD018,3.3830498174318273,0.0839,2.899714736860048,0.0437
CLOUD019,3.0894068718091545,0.0844,2.58962023474666,0.0554
CLOUD020,2.2451265456143745,0.5105,3.549056201072218,0.0308
CLOUD021,2.3453891303183276,0.5947,1.7696490923525845,0.354
CLOUD022,2.19653896466785,0.4092,2.4398734907320163,0.069
CLOUD023,4.2318823761184765,0.0122,4.042723222791954,0.0221
CLOUD024,No_Cells,No_Cells,No_Cells,No_Cells
CLOUD025,2.0010820813777404,0.6151,3.671555878289835,0.029
CLOUD026,2.8551566240357986,0.2399,2.6673810906928104,0.0516
CLOUD027,9.285522823095107,0.0,10.45042941239031,0.0
CLOUD028,2.2287835135529916,0.5249,2.24322095849617,0.2844
CLOUD029,2.488517850532709,0.3151,3.039554671623232,0.0406
CLOUD030,3.95731071908055,0.0183,3.626058357186559,0.0297
CLOUD031,7.336593003333245,0.0,16.545241243771933,0.0
